state,model_margin_dem_before,simulated_dem_win_prob_before,model_margin_dem_after,simulated_dem_win_prob_after,margin_change,probability_change
MI,6.726749999999999,0.8309166666666666,5.594500000000001,0.7895,-1.1322499999999982,-0.04141666666666666
NH,10.025078125,0.9270833333333334,8.954593099999999,0.90125,-1.0704850250000018,-0.025833333333333375
VA,15.781041666666663,0.9875833333333334,14.756624999999998,0.9825,-1.0244166666666654,-0.005083333333333329
NM,16.256152777777775,0.98875,15.285652777777775,0.9845,-0.9704999999999995,-0.004249999999999976
MN,11.241499999999998,0.9436666666666668,10.271,0.9259166666666668,-0.9704999999999977,-0.017749999999999932
CO,19.078083333333336,0.9964166666666666,18.1615,0.9953333333333332,-0.9165833333333353,-0.001083333333333436
NJ,17.823833333333333,0.9948333333333332,16.90725,0.9930833333333332,-0.9165833333333318,-0.0017500000000000293
GA,7.563444602272728,0.8630833333333333,6.665108989393939,0.832,-0.8983356128787889,-0.03108333333333335
OR,22.384041666666665,0.9991666666666666,21.521375,0.9990833333333332,-0.8626666666666658,-8.333333333343518e-05
IL,19.00125,0.9965833333333334,18.1925,0.9956666666666668,-0.8087499999999999,-0.0009166666666665657
ME,6.792749999999998,0.7745833333333333,5.983999999999998,0.7471666666666666,-0.8087499999999999,-0.027416666666666645
DE,23.003499999999995,0.99925,22.19475,0.9991666666666666,-0.8087499999999963,-8.333333333332416e-05
NC,4.007544562912178,0.72,3.2252802810579837,0.6789166666666666,-0.7822642818541947,-0.04108333333333336
KS,-14.328320512820511,0.0185,-15.083153846153843,0.0136666666666666,-0.7548333333333321,-0.0048333333333333995
SC,-13.051541666666669,0.0373333333333333,-13.806375,0.0294166666666666,-0.7548333333333304,-0.0079166666666667
OH,-3.084938862175951,0.3186666666666666,-3.834582522020817,0.2835833333333333,-0.7496436598448661,-0.0350833333333333
RI,23.151916666666665,0.99975,22.451,0.9996666666666668,-0.7009166666666644,-8.333333333321313e-05
LA,-19.001727272727276,0.00325,-19.648727272727275,0.0020833333333333,-0.6469999999999985,-0.0011666666666667
MS,-18.988375,0.0025833333333333,-19.635375,0.0018333333333333,-0.6469999999999985,-0.00075
KY,-24.904367647058823,8.333333333333333e-05,-25.55136764705882,8.333333333333333e-05,-0.6469999999999985,0.0
MA,33.4676171875,1.0,32.852239974999996,0.9999166666666668,-0.6153772125000003,-8.333333333321313e-05
MT,-14.68062069755879,0.0171666666666666,-15.27477934859454,0.01425,-0.5941586510357499,-0.0029166666666666004
NE,-20.099916666666665,0.0015,-20.693,0.0009166666666666,-0.5930833333333361,-0.0005833333333334001
TN,-26.705541666666665,0.0,-27.298625,0.0,-0.5930833333333361,0.0
AL,-25.203491361788615,8.333333333333333e-05,-25.796574695121947,8.333333333333333e-05,-0.5930833333333325,0.0
IA,-4.4231633506331445,0.25925,-4.986670955461793,0.2328333333333333,-0.5635076048286489,-0.02641666666666667
FL,-4.670959322857878,0.2511666666666666,-5.227081120277808,0.2276666666666666,-0.5561217974199302,-0.023499999999999993
TX,-3.9837537008023993,0.2829166666666666,-4.538465313656044,0.25375,-0.5547116128536445,-0.02916666666666662
AK,-6.637785857826582,0.1925833333333333,-7.17796464485043,0.17275,-0.5401787870238479,-0.019833333333333314
SD,-27.97083333333333,0.0,-28.51,0.0,-0.5391666666666701,0.0
AR,-28.743333333333336,8.333333333333333e-05,-29.2825,0.0,-0.539166666666663,-8.333333333333333e-05
WV,-41.079249999999995,0.0,-41.564499999999995,0.0,-0.4852500000000006,0.0
ID,-33.616499999999995,0.0,-34.101749999999996,0.0,-0.4852500000000006,0.0
OK,-31.35925,0.0,-31.844499999999996,0.0,-0.4852499999999971,0.0
WY,-42.10766666666667,0.0,-42.539,0.0,-0.4313333333333347,0.0
