dataset,requested_url,timestamp,original,mimetype,statuscode,digest,length,replay_url
house_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,20241129175909,https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,text/csv,200,CBOTTB4IAVEQ5QQE6RGDK3CUROLM2NG5,180844,https://web.archive.org/web/20241129175909id_/https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv
house_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,20250118200335,https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,text/csv,200,NTTPA3RY2ZBT4FDYANNTQXBE4LJTRSPW,227027,https://web.archive.org/web/20250118200335id_/https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv
house_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,20250306091815,https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv,text/csv,200,C6AVSQ5OUKUSYNNU4K7TDJZSYW6PD6PK,218124,https://web.archive.org/web/20250306091815id_/https://projects.fivethirtyeight.com/polls-page/data/house_polls_historical.csv
generic_ballot_polls_historical,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20220924035025,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,NQVZJZHKHZCTI4JZJXLFIF5AWZWJKQAC,101265,https://web.archive.org/web/20220924035025id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20230427025740,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,S3BEFHXKMC65JCHKTEXXBVEX57QPCPT7,150597,https://web.archive.org/web/20230427025740id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20241129175753,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,AAB4EQPECAJS33DDNN33JHQ4GU43GJPR,163434,https://web.archive.org/web/20241129175753id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20250118200335,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,WO3AXHQJA76VZ6OLUCCZNHHU5R4PP5UY,222402,https://web.archive.org/web/20250118200335id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20250306091811,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,WWKU3LFBPEZVY23AQSG3M4P4C2UA36LR,209044,https://web.archive.org/web/20250306091811id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20220924035025,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,NQVZJZHKHZCTI4JZJXLFIF5AWZWJKQAC,101265,https://web.archive.org/web/20220924035025id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20230427025740,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,S3BEFHXKMC65JCHKTEXXBVEX57QPCPT7,150597,https://web.archive.org/web/20230427025740id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20241129175753,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,AAB4EQPECAJS33DDNN33JHQ4GU43GJPR,163434,https://web.archive.org/web/20241129175753id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20250118200335,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,WO3AXHQJA76VZ6OLUCCZNHHU5R4PP5UY,222402,https://web.archive.org/web/20250118200335id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
generic_ballot_polls_historical,http://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,20250306091811,https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv,text/csv,200,WWKU3LFBPEZVY23AQSG3M4P4C2UA36LR,209044,https://web.archive.org/web/20250306091811id_/https://projects.fivethirtyeight.com/polls-page/data/generic_ballot_polls_historical.csv
