model_name,races,residual_mean,residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,coverage_50,coverage_error_50,mean_half_width_50,coverage_80,coverage_error_80,mean_half_width_80,coverage_95,coverage_error_95,mean_half_width_95,mean_absolute_coverage_error,cycle
normal_baseline,32,1.4201586774533537,13.48544276802854,10.233851287834128,13.348819455708954,0.11497839835209893,0.3606281042592077,4.251688435116164,0.15253861315411313,0.40625,-0.09375,5.901785314215715,0.6875,-0.11250000000000004,11.213576198515254,0.8125,-0.13749999999999996,17.149684864725472,0.11458333333333333,2012
normal_baseline,35,-1.438725249126256,11.870085745771432,8.001189970943946,11.787416259715778,0.06636949748372549,0.21972215665385153,3.9953762798097023,0.10593394260349365,0.5428571428571428,0.042857142857142816,5.901785314215715,0.7714285714285715,-0.02857142857142858,11.213576198515252,0.9714285714285714,0.021428571428571463,17.149684864725472,0.030952380952380953,2014
normal_baseline,33,-6.923650110851862,14.227530911601027,10.997182044777823,15.627717281489511,0.09190150425679511,0.268517963355164,4.682934584138544,0.13154179906137492,0.3333333333333333,-0.16666666666666669,5.901785314215715,0.7272727272727273,-0.07272727272727275,11.213576198515254,0.8484848484848485,-0.10151515151515145,17.149684864725472,0.11363636363636363,2016
normal_baseline,33,3.8580918645652833,10.605674739204703,7.580532302515579,11.13358497782759,0.10256494377119219,0.6086071954658734,3.897505470854249,0.10954526992346489,0.5151515151515151,0.015151515151515138,5.901785314215715,0.8181818181818182,0.018181818181818188,11.213576198515254,0.9090909090909091,-0.040909090909090895,17.149684864725472,0.02474747474747474,2018
normal_baseline,33,-3.1860150278252233,9.022161414667623,5.877790052014099,9.438402405505926,0.06028151186314805,0.19780463559358175,3.6697616374485476,0.10129666848808577,0.6666666666666666,0.16666666666666663,5.901785314215715,0.9090909090909091,0.10909090909090902,11.213576198515254,0.9090909090909091,-0.040909090909090895,17.149684864725472,0.10555555555555551,2020
normal_baseline,34,-2.1056509642186048,9.147254237349426,6.365000535565088,9.254462558131605,0.047004106813425345,0.15373718216050392,3.647307023712056,0.090474688478063,0.5882352941176471,0.08823529411764708,5.901785314215715,0.8235294117647058,0.0235294117647058,11.213576198515252,0.9117647058823529,-0.038235294117647034,17.149684864725472,0.04999999999999997,2022
normal_baseline,34,-2.70860984545106,6.9834649689253325,5.4946378597720695,7.393982303015806,0.04019045639428224,0.13928118034122358,3.4450271677607165,0.07829045806728616,0.6176470588235294,0.11764705882352944,5.901785314215715,0.8529411764705882,0.05294117647058816,11.213576198515252,0.9705882352941176,0.020588235294117685,17.149684864725472,0.06372549019607843,2024
normal_mixture,32,1.4201586774533537,13.48544276802854,10.233851287834128,13.348819455708954,0.11347071060138561,0.35406575592992284,4.076631903089468,0.14426598630323506,0.40625,-0.09375,6.244324003820953,0.6875,-0.11250000000000004,12.1387362367999,0.84375,-0.10624999999999996,20.310048603724063,0.10416666666666667,2012
normal_mixture,35,-1.438725249126256,11.870085745771432,8.001189970943946,11.787416259715778,0.06654634266736195,0.223566282944208,3.71250651838904,0.11127660414863372,0.5428571428571428,0.042857142857142816,6.244324003820954,0.8,0.0,12.1387362367999,0.9714285714285714,0.021428571428571463,20.310048603724066,0.021428571428571425,2014
normal_mixture,33,-6.923650110851862,14.227530911601027,10.997182044777823,15.627717281489511,0.09144883774702146,0.27410646089352414,4.130040510783513,0.138267729232251,0.3939393939393939,-0.10606060606060608,6.244324003820953,0.7575757575757576,-0.042424242424242475,12.1387362367999,0.8484848484848485,-0.10151515151515145,20.310048603724063,0.08333333333333333,2016
