model_name,brier_value,brier_delta_vs_baseline,binary_log_loss_value,binary_log_loss_delta_vs_baseline,margin_negative_log_likelihood_value,margin_negative_log_likelihood_delta_vs_baseline,expected_calibration_error_value,expected_calibration_error_delta_vs_baseline,coverage_50_value,coverage_50_delta_vs_baseline,coverage_80_value,coverage_80_delta_vs_baseline,coverage_95_value,coverage_95_delta_vs_baseline,mean_absolute_coverage_error_value,mean_absolute_coverage_error_delta_vs_baseline,mean_half_width_50_value,mean_half_width_50_delta_vs_baseline,mean_half_width_80_value,mean_half_width_80_delta_vs_baseline,mean_half_width_95_value,mean_half_width_95_delta_vs_baseline
normal_baseline,0.07424589309686785,0.0,0.2763490699141906,0.0,3.937129137084168,0.0,0.03774401823736581,0.0,0.5256410256410257,0.0,0.7991452991452992,0.0,0.905982905982906,0.0,0.023504273504273494,0.0,5.901785314215714,0.0,11.213576198515256,0.0,17.149684864725476,0.0
student_t,0.07457589158160922,0.00032999848474137006,0.25850733995117825,-0.017841729963012365,3.759300498472173,-0.17782863861199516,0.024806693300900157,-0.012937324936465655,0.47863247863247865,-0.04700854700854701,0.7649572649572649,-0.03418803418803429,0.9316239316239316,0.02564102564102566,0.024928774928774933,0.001424501424501439,5.116256773437852,-0.7855285407778618,10.902584187141372,-0.31099201137388377,20.98551511896916,3.8358302542436853
normal_mixture,0.07469661087288565,0.00045071777601779495,0.25747702424930047,-0.018872045664890147,3.7534467477047526,-0.1836823893794155,0.035296358974542794,-0.002447659262823018,0.5598290598290598,0.03418803418803418,0.8247863247863247,0.02564102564102555,0.9273504273504274,0.021367521367521403,0.0357549857549857,0.012250712250712208,6.280002938047346,0.37821762383163193,12.239563423498268,1.0259872249830124,20.74913482625087,3.5994499615253943
