cycle,races,mae,rmse,mean_error_dem,winner_accuracy,brier,mean_predicted_dem_probability,actual_dem_win_rate
2012,32,10.233851287834128,13.348819455708954,-1.4201586774533532,0.84375,0.1280312572,0.65555875,0.75
2014,35,8.001189970943946,11.787416259715778,1.438725249126256,0.9142857142857143,0.07429665646857143,0.4093857142857143,0.34285714285714286
2016,33,10.997182044777825,15.627717281489511,6.923650110851862,0.8484848484848485,0.12688662733333333,0.47729030303030306,0.3333333333333333
2018,33,7.580532302515579,11.13358497782759,-3.8580918645652837,0.8787878787878788,0.10638613353939395,0.6092224242424242,0.6666666666666666
2020,33,5.877790052014099,9.438402405505926,3.1860150278252224,0.9090909090909091,0.06142367149090909,0.4644,0.3939393939393939
2022,34,6.365000535565087,9.254462558131605,2.105650964218605,0.9411764705882353,0.03908913425882352,0.40311411764705884,0.4411764705882353
2024,34,5.4946378597720695,7.393982303015805,2.70860984545106,0.9705882352941176,0.027931949364705885,0.5395929411764706,0.5588235294117647
