holdout_cycle,training_cycles,training_rows,holdout_rows,training_original_residual_mean,selected_bias_correction_dem,selected_global_sd
2012,"2014,2016,2018,2020,2022,2024",202,32,-2.08090182818751,-2.08090182818751,10.892700211584057
2014,"2012,2016,2018,2020,2022,2024",199,35,-1.630862853748496,-1.630862853748496,11.24415499903917
2016,"2012,2014,2018,2020,2022,2024",201,33,-0.7284409848619812,-0.7284409848619812,10.549771971171332
2018,"2012,2014,2016,2020,2022,2024",201,33,-2.498577727094647,-2.498577727094647,11.19826863279228
2020,"2012,2014,2016,2018,2022,2024",201,33,-1.3420825656574,-1.3420825656574,11.645566720155305
2022,"2012,2014,2016,2018,2020,2024",200,34,-1.516524794159686,-1.516524794159686,11.659691885366854
2024,"2012,2014,2016,2018,2020,2022",200,34,-1.4140217843501688,-1.4140217843501688,11.897158147736798
