race,state,chamber,pollster,pollster_grade,sponsor,poll_sponsor_type,partisan_sponsor_party,is_internal_poll,pollster_partisan_affiliation,partisan_pollster_review_notes,start_date,end_date,mid_date,days_old,sample_size,sample_type,dem_candidate,rep_candidate,ind_candidate,other_candidate,dem_pct,rep_pct,ind_pct,other_pct,undecided_pct,leader,leader_pct,second_place_pct,leader_margin,dem_margin,allocated_share,undecided_share,undecided_discount,undecided_adjusted_dem_margin,pollster_raw,pollster_normalized_key,canonical_pollster,pollster_match_method,reported_margin_dem,pollster_house_effect_dem,manual_house_effect_override_dem,effective_house_effect_dem,house_effect_source,house_effect_confidence,house_effect_notes,house_effect_adjusted_dem_margin,final_poll_margin_dem,dem_margin_vs_top_opponent,rep_margin_vs_top_opponent,ind_margin_vs_top_opponent,is_three_way_race,base_poll_weight,pollster_quality_weight,poll_weight,notes,poll_age_days,current_national_environment_dem,national_environment_at_poll_date_dem,race_environment_sensitivity,recency_half_life_days,recency_weight,pollster_grade_weight,sample_size_weight,population_weight,sponsor_classification,sponsor_weight,partisan_sponsor_adjustment_dem,environment_translation_dem,adjusted_margin_dem,preliminary_poll_weight,final_poll_weight,weighted_margin_component
NC-Senate,NC,Senate,PPP,B,,,none,False,D,,2026-07-10,2026-07-11,2026-07-10 12:00:00,66,750,LV,Cooper,Whatley,,,47.0,45.0,0.0,0.0,8.0,Dem,47.0,45.0,2.0,2.0,92.0,8.0,0.92,2.0,PPP,ppp,PPP,normalized_alias,2.0,0.0,,0.0,pollster_registry,low,,2.0,2.0,2.0,-2.0,-47.0,False,8.558164961018221,0.95,8.13025671296731,,66,,,1.0,25.0,0.160428237195363,1.0,1.118033988749895,1.1,neutral,1.0,-0.0,0.0,2.0,0.19730064413361056,0.19730064413361056,0.39460128826722113
ME-Senate,ME,Senate,UNH,B,,,,False,,,2026-07-15,2026-07-20,2026-07-17 12:00:00,59,1178,LV,Jackson,Collins,,,49.0,46.0,0.0,0.0,5.0,Dem,49.0,46.0,3.0,3.0,95.0,5.0,0.95,3.0,UNH,unh,UNH,normalized_alias,3.0,0.0,,0.0,pollster_registry,low,,3.0,3.0,3.0,-3.0,-49.0,False,11.569215034874505,0.95,10.990754283130778,,59,,,1.0,25.0,0.19479114491512498,1.0,1.35,1.1,neutral,1.0,0.0,0.0,3.0,0.28926485019896064,0.28926485019896064,0.8677945505968819
GA-Senate,GA,Senate,Fabrizio/Ward,B+,AARP,,,False,,,2026-07-13,2026-07-16,2026-07-14 12:00:00,62,1060,LV,Ossoff,Collins,,,52.0,43.0,0.0,0.0,5.0,Dem,52.0,43.0,9.0,9.0,95.0,5.0,0.95,9.0,Fabrizio/Ward,fabrizio ward,Fabrizio Ward,normalized_alias,9.0,0.0,,0.0,pollster_registry,low,,9.0,9.0,9.0,-9.0,-52.0,False,10.616622127891112,1.0,10.616622127891112,,62,,,1.0,25.0,0.1792444060019784,1.1,1.3291601358251257,1.1,neutral,1.0,0.0,0.0,9.0,0.28827586802325517,0.28827586802325517,2.5944828122092964
MT-Senate,MT,Senate,Tavern,B,,,,False,,,2026-07-23,2026-07-27,2026-07-25 00:00:00,52,517,LV,Bankhead,Alme,Bodnar,,24.0,49.0,27.0,0.0,0.0,Rep,49.0,27.0,22.0,-25.0,100.0,0.0,1.0,-25.0,Tavern,tavern,Tavern,normalized_alias,-25.0,0.0,,0.0,pollster_registry,low,,-25.0,-25.0,-25.0,22.0,-22.0,True,8.318646586025906,0.95,7.902714256724611,,52,,,1.0,25.0,0.23651441168139897,1.0,0.9282600210429547,1.1,neutral,1.0,0.0,0.0,-25.0,0.24150156004077122,0.24150156004077122,-6.03753900101928
TX-Sen,TX,Senate,Public Opinion Research,B,,,,False,,,2026-07-15,2026-07-17,2026-07-16 00:00:00,61,1048,LV,Talarico,Paxton,,,45.0,40.0,0.0,0.0,15.0,Dem,45.0,40.0,5.0,5.0,85.0,15.0,0.85,5.0,Public Opinion Research,public opinion research,Public Opinion Research,normalized_alias,5.0,0.0,,0.0,pollster_registry,low,,5.0,5.0,5.0,-5.0,-45.0,False,10.672360916201306,0.95,10.13874287039124,,61,,,1.0,25.0,0.18428365216138765,1.0,1.321615173439934,1.1,neutral,1.0,0.0,0.0,5.0,0.2679072780047585,0.2679072780047585,1.3395363900237924
NC-Senate,NC,Senate,Beacon Shaw,A+,Fox News,,,False,,,2026-07-23,2026-07-27,2026-07-25 00:00:00,52,1005,RV,Cooper,Whatley,,,53.0,44.0,0.0,0.0,3.0,Dem,53.0,44.0,9.0,9.0,97.0,3.0,0.97,9.0,Beacon Shaw,beacon shaw,Beacon/Shaw,normalized_alias,9.0,1.5,,1.5,pollster_registry,low,,7.5,7.5,9.0,-9.0,-53.0,False,11.598195720107825,1.15,13.337925078123996,,52,,,1.0,25.0,0.23651441168139897,1.2,1.2942179105544784,1.0,neutral,1.0,0.0,0.0,7.5,0.36732142524278627,0.36732142524278627,2.754910689320897
TX-Senate,TX,Senate,Beacon/Shaw,A+,Fox News,media,,False,,,2026-07-23,2026-07-27,2026-07-25 00:00:00,52,1006,RV,Talarico,Paxton,,,51.0,48.0,0.0,0.0,1.0,Dem,51.0,48.0,3.0,3.0,99.0,1.0,0.99,3.0,Beacon/Shaw,beacon shaw,Beacon/Shaw,normalized_alias,3.0,1.5,,1.5,pollster_registry,low,,1.5,1.5,3.0,-3.0,-51.0,False,11.603964532063689,1.15,13.34455921187324,,52,,,1.0,25.0,0.23651441168139897,1.2,1.2948616399703354,1.0,neutral,1.0,0.0,0.0,1.5,0.3675041267836744,0.3675041267836744,0.5512561901755115
TX-Senate,TX,Senate,Wedgewood,B,,,,False,,,2026-07-30,2026-07-31,2026-07-30 12:00:00,46,800,LV,Talarico,Paxton,,,48.0,46.0,0.0,0.0,6.0,Dem,48.0,46.0,2.0,2.0,94.0,6.0,0.94,2.0,Wedgewood,wedgewood,Wedgewood,normalized_alias,2.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,2.0,2.0,2.0,-2.0,-48.0,False,11.164843913471804,0.95,10.606601717798211,,46,,,1.0,25.0,0.27932178451805495,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,2.0,0.35478631646045644,0.35478631646045644,0.7095726329209129
TX-Sen,TX,Senate,TSU,B,,media,,False,,,2026-07-27,2026-07-30,2026-07-28 12:00:00,48,1200,LV,Talarico,Paxton,"Brown, Ted",,47.0,45.0,2.0,0.0,6.0,Dem,47.0,45.0,2.0,2.0,94.0,6.0,0.94,2.0,TSU,tsu,TSU,normalized_alias,2.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,2.0,2.0,2.0,-2.0,-45.0,False,13.323467750529826,0.95,12.657294363003334,,48,,,1.0,25.0,0.2642545101403451,1.0,1.35,1.1,neutral,1.0,0.0,0.0,2.0,0.3924179475584125,0.3924179475584125,0.784835895116825
MI-Senate,MI,Senate,EPIC-MRA,A-,,,,False,,,2026-07-24,2026-08-31,2026-08-12 00:00:00,34,600,LV,El-Sayed,Rogers,,,43.0,46.0,0.0,0.0,11.0,Rep,46.0,43.0,3.0,-3.0,89.0,11.0,0.89,-3.0,EPIC-MRA,epic mra,EPIC-MRA,normalized_alias,-3.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-3.0,-3.0,-3.0,3.0,-46.0,False,11.481983169296146,1.05,12.056082327760954,,34,,,1.0,25.0,0.3895822898302499,1.1,1.0,1.1,neutral,1.0,0.0,0.0,-3.0,0.47139457069460244,0.47139457069460244,-1.4141837120838074
MI-Senate,MI,Senate,MIRS/Mitchell Research,B,,,,False,,,2026-07-28,2026-07-29,2026-07-28 12:00:00,48,672,LV,El-Sayed,Rogers,,,45.0,45.0,0.0,0.0,10.0,Dem,45.0,45.0,0.0,0.0,90.0,10.0,0.9,0.0,MIRS/Mitchell Research,mirs mitchell research,MIRS/Mitchell Research,normalized_alias,0.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,0.0,0.0,0.0,0.0,-45.0,False,9.97037030524286,0.95,9.471851789980718,,48,,,1.0,25.0,0.2642545101403451,1.0,1.0583005244258363,1.1,neutral,1.0,0.0,0.0,0.0,0.30762675532976175,0.30762675532976175,0.0
MI-Senate,MI,Senate,Quantus Insights,B,,,,False,,,2026-06-29,2026-06-30,2026-06-29 12:00:00,77,947,LV,El-Sayed,Rogers,,,45.0,44.0,0.0,0.0,11.0,Dem,45.0,44.0,1.0,1.0,89.0,11.0,0.89,1.0,Quantus Insights,quantus insights,Quantus Insights,normalized_alias,1.0,0.0,,0.0,pollster_registry,low,,1.0,1.0,1.0,-1.0,-45.0,False,8.628046291642496,0.95,8.19664397706037,,77,,,1.0,25.0,0.11825720584069949,1.0,1.256317369669517,1.1,neutral,1.0,0.0,0.0,1.0,0.16342543996487963,0.16342543996487963,0.16342543996487963
AR-Senate,AR,Senate,Strategy Group,B,Shoffner,,,False,,,2026-07-17,2026-07-25,2026-07-21 00:00:00,56,586,LV,Shoffner,Cotton,,,43.0,46.0,0.0,0.0,0.0,Rep,46.0,43.0,3.0,-3.0,89.0,0.0,0.89,-3.0,Strategy Group,strategy group,Strategy Group,normalized_alias,-3.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-3.0,-3.0,-3.0,3.0,-46.0,False,8.444454723425723,0.95,8.022231987254436,,56,,,1.0,25.0,0.21168632809063176,1.0,0.9882644720249062,1.1,neutral,1.0,0.0,0.0,-3.0,0.2301222849919172,0.2301222849919172,-0.6903668549757516
AR-Senate,AR,Senate,Strategy Group,B,Shoffner,campaign,D,False,D,,2026-07-17,2026-07-25,2026-07-21 00:00:00,56,586,LV,Shoffner,Cotton,,,41.75,47.25,0.0,0.0,12.0,Rep,47.25,41.75,5.5,-5.5,89.0,12.0,0.89,-5.5,Strategy Group,strategy group,Strategy Group,normalized_alias,-5.5,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-5.5,-5.5,-5.5,5.5,-47.25,False,8.444454723425723,0.95,8.022231987254436,,56,,,1.0,25.0,0.21168632809063176,1.0,0.9882644720249062,1.1,internal,0.65,-1.5,0.0,-7.0,0.14957948524474618,0.14957948524474618,-1.0470563967132231
SD-Sen,SD,Senate,Public Opinion Strategies,B,,party,R,False,R,,2026-07-06,2026-07-09,2026-07-07 12:00:00,69,500,LV,,Rounds,Bengs,,1.25,54.75,33.0,0.0,11.0,Rep,54.75,33.0,21.75,-53.5,89.0,11.0,0.89,-53.5,Public Opinion Strategies,public opinion strategies,Public Opinion Strategies,normalized_alias,-53.5,0.0,,0.0,pollster_registry,low,,-53.5,-53.5,-53.5,21.75,-21.75,True,6.775963568181181,0.95,6.4371653897721215,,69,,,1.0,25.0,0.14762408267869132,1.0,0.9128709291752769,1.1,partisan,0.8,1.0,0.0,-52.5,0.11859032550071946,0.11859032550071946,-6.2259920887877716
IA-Senate,IA,Senate,Emerson,A-,NXST Media Group,media,,False,,,2026-08-02,2026-08-04,2026-08-03 00:00:00,43,712,LV,Turek,Hinson,,,45.0,48.0,0.0,0.0,6.0,Rep,48.0,45.0,3.0,-3.0,93.0,6.0,0.93,-3.0,Emerson,emerson,Emerson,normalized_alias,-3.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-3.0,-3.0,-3.0,3.0,-48.0,False,10.965751285583288,1.05,11.514038849862452,,43,,,1.0,25.0,0.30354872109876174,1.1,1.0893423092245462,1.1,neutral,1.0,0.0,0.0,-3.0,0.40010884241269834,0.40010884241269834,-1.200326527238095
ME-Senate,ME,Senate,Hart,B,House Majority PAC,super PAC,D,False,D,,2026-07-27,2026-08-01,2026-07-29 12:00:00,47,802,LV,Jackson,Collins,,,48.0,46.0,0.0,0.0,6.0,Dem,48.0,46.0,2.0,2.0,94.0,6.0,0.94,2.0,Hart,hart,Hart,normalized_alias,2.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,2.0,2.0,2.0,-2.0,-48.0,False,11.033612149485426,0.95,10.481931542011155,,47,,,1.0,25.0,0.27168371563151456,1.0,1.1561430130683084,1.1,partisan,0.8,-1.0,0.0,1.0,0.2764126020407952,0.2764126020407952,0.2764126020407952
NC-Senate,NC,Senate,Change Research,B,,,,False,D,,2026-07-29,2026-08-01,2026-07-30 12:00:00,46,967,RV,Cooper,Whatley,,,49.0,42.0,0.0,0.0,9.0,Dem,49.0,42.0,7.0,7.0,91.0,9.0,0.91,7.0,Change Research,change research,Change Research,normalized_alias,7.0,0.0,,0.0,pollster_registry,low,,7.0,7.0,7.0,-7.0,-49.0,False,12.274983004315432,0.95,11.66123385409966,,46,,,1.0,25.0,0.27932178451805495,1.0,1.2695143428361362,1.0,neutral,1.0,-0.0,0.0,7.0,0.3546030117122554,0.3546030117122554,2.482221081985788
TX-Senate,TX,Senate,Texas Pulse,B,TX Bush School,,,False,,,2026-08-07,2026-08-07,2026-08-07 00:00:00,39,619,LV,Talarico,Paxton,,,47.0,43.0,0.0,0.0,10.0,Dem,47.0,43.0,4.0,4.0,90.0,10.0,0.9,4.0,Texas Pulse,texas pulse,Texas Pulse,normalized_alias,4.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,4.0,4.0,4.0,-4.0,-47.0,False,10.817265482282371,0.95,10.276402208168252,,39,,,1.0,25.0,0.33915108186191795,1.0,1.0157099323461727,1.1,neutral,1.0,0.0,0.0,4.0,0.37892703465441,0.37892703465441,1.51570813861764
KS-Senate,KS,Senate,GBAO,B,Hamilton,campaign,D,True,D,,2026-07-08,2026-07-13,2026-07-10 12:00:00,66,600,LV,Hamilton,Marshall,,,41.75,48.25,0.0,0.0,10.0,Rep,48.25,41.75,6.5,-6.5,90.0,10.0,0.9,-6.5,GBAO,gbao,GBAO,normalized_alias,-6.5,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-6.5,-6.5,-6.5,6.5,-48.25,False,7.654655446197431,0.95,7.271922673887559,,66,,,1.0,25.0,0.160428237195363,1.0,1.0,1.1,internal,0.65,-1.5,0.0,-8.0,0.11470618959468455,0.11470618959468455,-0.9176495167574764
NC-Senate,NC,Senate,Change Research,B,,,,False,D,,2026-08-03,2026-08-06,2026-08-04 12:00:00,41,915,LV,Cooper,Whatley,,,49.0,44.0,0.0,7.0,0.0,Dem,49.0,44.0,5.0,5.0,100.0,0.0,1.0,5.0,Change Research,change research,Change Research,normalized_alias,5.0,0.0,,0.0,pollster_registry,low,,5.0,5.0,5.0,-5.0,-49.0,False,12.78125363007395,0.95,12.142190948570253,,41,,,1.0,25.0,0.32085647439072607,1.0,1.2349089035228469,1.1,neutral,1.0,-0.0,0.0,5.0,0.43585136867586377,0.43585136867586377,2.179256843379319
AK-Senate,AK,Senate,Alaska Survey Research,B,,,,False,,,2026-08-02,2026-08-05,2026-08-03 12:00:00,42,1371,LV,Peltola,Sullivan,,,50.8,49.2,0.0,0.0,0.0,Dem,50.8,49.2,1.5999999999999943,1.5999999999999943,100.0,0.0,1.0,1.5999999999999943,Alaska Survey Research,alaska survey research,Alaska Survey Research,normalized_alias,1.5999999999999943,0.0,,0.0,pollster_registry,low,,1.5999999999999943,1.5999999999999943,1.5999999999999943,-1.5999999999999943,-50.8,False,15.427923817978016,0.95,14.656527627079114,,42,,,1.0,25.0,0.31208263722540297,1.0,1.35,1.1,neutral,1.0,0.0,0.0,1.5999999999999943,0.4634427162797235,0.09813416031429557,0.15701465650287236
KS-Senate,KS,Senate,PPP,B-,,super PAC,D,False,D,,2026-08-07,2026-08-08,2026-08-07 12:00:00,38,569,LV,Hamilton,Marshall,,,44.0,47.0,0.0,0.0,9.0,Rep,47.0,44.0,3.0,-3.0,91.0,9.0,0.91,-3.0,PPP,ppp,PPP,normalized_alias,-3.0,0.0,,0.0,pollster_registry,low,,-3.0,-3.0,-3.0,3.0,-47.0,False,10.523700389891086,0.9,9.471330350901978,,38,,,1.0,25.0,0.34868591658760134,1.0,0.9738240771994361,1.1,partisan,0.8,-1.0,0.0,-4.0,0.2988116920389572,0.2988116920389572,-1.1952467681558288
NC-Senate,NC,Senate,YouGov,B,Elon,,,False,,,2026-07-23,2026-07-31,2026-07-27 00:00:00,50,800,LV,Cooper,Whatley,,,53.0,42.0,2.0,1.0,2.0,Dem,53.0,42.0,11.0,11.0,98.0,2.0,0.98,11.0,YouGov,yougov,YouGov,normalized_alias,11.0,0.0,,0.0,pollster_registry,low,,11.0,11.0,11.0,-11.0,-51.0,False,10.606601717798211,0.95,10.0762716319083,,50,,,1.0,25.0,0.25,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,11.0,0.31754264805429416,0.31754264805429416,3.492969128597236
OH-Senate,OH,Senate,Tulchin,B,Kulewicz ,campaign,D,False,D,,2026-07-29,2026-08-04,2026-08-01 00:00:00,45,800,LV,Brown,Husted,,,45.75,44.25,4.0,2.0,4.0,Dem,45.75,44.25,1.5,1.5,96.0,4.0,0.96,1.5,Tulchin,tulchin,Tulchin,normalized_alias,1.5,0.0,,0.0,pollster_registry,low,,1.5,1.5,1.5,-1.5,-41.75,False,11.31370849898476,0.95,10.748023074035522,,45,,,1.0,25.0,0.2871745887492587,1.0,1.1547005383792515,1.1,internal,0.65,-1.5,0.0,0.0,0.2370944663498906,0.2370944663498906,0.0
ME-Senatre,ME,Senate,Beacon/Shaw,A,Fox News,media,,False,,,2026-08-06,2026-08-10,2026-08-08 00:00:00,38,1000,RV,Jackson,Collins,,,48.0,46.0,1.0,0.0,4.0,Dem,48.0,46.0,2.0,2.0,95.0,4.0,0.95,2.0,Beacon/Shaw,beacon shaw,Beacon/Shaw,normalized_alias,2.0,1.5,,1.5,pollster_registry,low,,0.5,0.5,2.0,-2.0,-47.0,False,13.951224971331085,1.1,15.346347468464195,,38,,,1.0,25.0,0.34868591658760134,1.2,1.2909944487358056,1.0,neutral,1.0,0.0,0.0,0.5,0.5401818992003394,0.5401818992003394,0.2700909496001697
TX-Senate,TX,Senate,Emerson,A,,,,False,,,2026-08-09,2026-08-10,2026-08-09 12:00:00,36,1000,LV,Talarico,Paxton,,,46.0,47.0,2.0,0.0,5.0,Rep,47.0,46.0,1.0,-1.0,95.0,5.0,0.95,-1.0,Emerson,emerson,Emerson,normalized_alias,-1.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-1.0,-1.0,-1.0,1.0,-45.0,False,14.373989364401725,1.1,15.811388300841896,,36,,,1.0,25.0,0.3685673043227753,1.2,1.2909944487358056,1.1,neutral,1.0,0.0,0.0,-1.0,0.6280802139034146,0.6280802139034146,-0.6280802139034146
MI-Senate,MI,Senate,Beacon/Shaw,A,Fox News,,,False,,,2026-08-06,2026-08-10,2026-08-08 00:00:00,38,1006,RV,El Sayed,Rogers,,,47.0,51.0,0.0,0.0,2.0,Rep,51.0,47.0,4.0,-4.0,98.0,2.0,0.98,-4.0,Beacon/Shaw,beacon shaw,Beacon/Shaw,normalized_alias,-4.0,1.5,,1.5,pollster_registry,low,,-5.5,-5.5,-4.0,4.0,-51.0,False,13.993016053370916,1.1,15.392317658708013,,38,,,1.0,25.0,0.34868591658760134,1.2,1.2948616399703354,1.0,neutral,1.0,0.0,0.0,-5.5,0.5418000213446172,0.5418000213446172,-2.979900117395395
OH-Senate,OH,Senate,Beacon/Shaw,A,Fox News,,,False,,,2026-08-06,2026-08-10,2026-08-08 00:00:00,38,1008,RV,Brown,Husted,,,53.0,45.0,0.0,0.0,2.0,Dem,53.0,45.0,8.0,8.0,98.0,2.0,0.98,8.0,Beacon/Shaw,beacon shaw,Beacon/Shaw,normalized_alias,8.0,1.5,,1.5,pollster_registry,low,,6.5,6.5,8.0,-8.0,-53.0,False,14.00691870563607,1.1,15.407610576199678,,38,,,1.0,25.0,0.34868591658760134,1.2,1.296148139681572,1.0,neutral,1.0,0.0,0.0,6.5,0.5423383225418199,0.5423383225418199,3.5251990965218294
NC-Senate,NC,Senate,Carolina Journal/Harper,B,,,,False,,,2026-08-13,2026-08-13,2026-08-13 00:00:00,33,600,LV,Cooper,Whatley,,,52.0,39.0,0.0,0.0,9.0,Dem,52.0,39.0,13.0,13.0,91.0,9.0,0.91,13.0,Carolina Journal/Harper,carolina journal harper,Carolina Journal/Harper,normalized_alias,13.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,13.0,13.0,13.0,-13.0,-52.0,False,11.664236870396085,0.95,11.08102502687628,,33,,,1.0,25.0,0.400534938794811,1.0,1.0,1.1,neutral,1.0,0.0,0.0,13.0,0.44058843267429215,0.44058843267429215,5.727649624765798
OH-Sen,OH,Senate,Wedgewood,B,,,,False,,,2026-08-11,2026-08-13,2026-08-12 00:00:00,34,800,LV,Brown,Husted,,,48.0,44.0,0.0,0.0,8.0,Dem,48.0,44.0,4.0,4.0,92.0,8.0,0.92,4.0,Wedgewood,wedgewood,Wedgewood,normalized_alias,4.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,4.0,4.0,4.0,-4.0,-48.0,False,13.258252147247768,0.95,12.595339539885378,,34,,,1.0,25.0,0.3895822898302499,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,4.0,0.4948359677910123,0.4948359677910123,1.9793438711640492
MI-Sen,MI,Senate,GBAO,B,,,D,False,D,,2026-08-06,2026-08-10,2026-08-08 00:00:00,38,800,LV,El-Sayed,Rogers,,,49.0,45.0,0.0,0.0,6.0,Dem,49.0,45.0,4.0,4.0,94.0,6.0,0.94,4.0,GBAO,gbao,GBAO,normalized_alias,4.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,4.0,4.0,4.0,-4.0,-49.0,False,12.478354962115546,0.95,11.854437214009767,,38,,,1.0,25.0,0.34868591658760134,1.0,1.1547005383792515,1.1,partisan,0.8,-1.0,0.0,3.0,0.35431247773589014,0.35431247773589014,1.0629374332076704
AK-Senate,AK,Senate,Data for Progress,B-,,,,False,D,,2026-07-28,2026-08-04,2026-07-31 12:00:00,45,567,LV,Peltola,Sullivan,,,52.0,48.0,0.0,0.0,0.0,Dem,52.0,48.0,4.0,4.0,100.0,0.0,1.0,4.0,Data for Progress,data for progress,Data for Progress,normalized_alias,4.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,4.0,4.0,4.0,-4.0,-52.0,False,9.524704719832526,0.9,8.572234247849273,,45,,,1.0,25.0,0.2871745887492587,1.0,0.972111104761179,1.1,neutral,1.0,-0.0,0.0,4.0,0.3070821674012171,0.3070821674012171,1.2283286696048683
GA-Senate,GA,Senate,Insider Advantage,B+,,,,False,,,2026-08-16,2026-08-17,2026-08-16 12:00:00,29,800,LV,Ossoff,Collins,,,50.1,42.6,0.0,0.0,0.0,Dem,50.1,42.6,7.5,7.5,92.7,0.0,0.927,7.5,Insider Advantage,insider advantage,Insider Advantage,normalized_alias,7.5,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,7.5,7.5,7.5,-7.5,-50.1,False,14.381832837692492,1.0,14.381832837692492,,29,,,1.0,25.0,0.4475125354639862,1.1,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,7.5,0.6252589884143919,0.5225772536778976,3.9193294025842325
MI-Senate,MI,Senate,TIPP,A-,,,,False,,,2026-08-06,2026-08-10,2026-08-08 00:00:00,38,1215,LV,El-Sayed,Rogers,,,45.4,42.3,0.0,0.0,0.0,Dem,45.4,42.3,3.1000000000000014,3.1000000000000014,87.69999999999999,0.0,0.8769999999999999,3.1000000000000014,TIPP,tipp,TIPP,normalized_alias,3.1000000000000014,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,3.1000000000000014,3.1000000000000014,3.1000000000000014,-3.1000000000000014,-45.4,False,15.378022109941211,1.05,16.146923215438274,,38,,,1.0,25.0,0.34868591658760134,1.1,1.35,1.1,neutral,1.0,0.0,0.0,3.1000000000000014,0.569578444745847,0.569578444745847,1.7656931787121264
MN-Senate,MN,Senate,SurveyUSA,A,,,,False,,,2026-08-13,2026-08-17,2026-08-15 00:00:00,31,661,LV,Flanagan,Tafoya,,,46.0,41.0,0.0,0.0,13.0,Dem,46.0,41.0,5.0,5.0,87.0,13.0,0.87,5.0,SurveyUSA,surveyusa,SurveyUSA,normalized_alias,5.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,5.0,5.0,5.0,-5.0,-46.0,False,12.64422308083519,1.1,13.908645388918709,,31,,,1.0,25.0,0.4233726561812636,1.2,1.0496030995889192,1.1,neutral,1.0,0.0,0.0,5.0,0.5865726929159435,0.4283466703743117,2.1417333518715584
MI-Senate,MI,Senate,Susquehanna,A,,,,False,,,2026-08-11,2026-08-17,2026-08-14 00:00:00,32,800,LV,,,,,46.4,39.0,0.0,0.0,0.0,Dem,46.4,39.0,7.399999999999999,7.399999999999999,85.4,0.0,0.8540000000000001,7.399999999999999,Susquehanna,susquehanna,Susquehanna,normalized_alias,7.399999999999999,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,7.399999999999999,7.399999999999999,7.399999999999999,-7.399999999999999,-46.4,False,13.685937700384793,1.1,15.054531470423273,,32,,,1.0,25.0,0.41179550863378656,1.2,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,7.399999999999999,0.6276606540885002,0.6276606540885002,4.644688840254901
ID-Senate,ID,Senate,Bullfinch,B,,,,False,,,2026-08-20,2026-08-20,2026-08-20 00:00:00,26,600,LV,,Risch,Achilles,,0.0,33.0,38.0,0.0,29.0,Ind,38.0,33.0,5.0,-33.0,71.0,29.0,0.71,-33.0,Bullfinch,bullfinch,Bullfinch,normalized_alias,-33.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,-33.0,-33.0,-38.0,-5.0,5.0,True,13.122266479195597,0.95,12.466153155235816,,26,,,1.0,25.0,0.48632747370614277,1.0,1.0,1.1,neutral,1.0,0.0,0.0,-33.0,0.5349602210767571,0.5349602210767571,-17.653687295532986
MI-Senate,MI,Senate,Fabrizio,A-,AARP,,,False,,,2026-08-09,2026-08-11,2026-08-10 00:00:00,36,800,LV,,,,,48.0,47.0,0.0,0.0,5.0,Dem,48.0,47.0,1.0,1.0,95.0,5.0,0.95,1.0,Fabrizio,fabrizio,Fabrizio,normalized_alias,1.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,1.0,1.0,1.0,-1.0,-48.0,False,12.8564869306645,1.05,13.499311277197728,,36,,,1.0,25.0,0.3685673043227753,1.1,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,1.0,0.5149576863239027,0.5149576863239027,0.5149576863239027
MN-Senate,MN,Senate,Deep Root,B,,,R,False,R,,2026-08-17,2026-08-18,2026-08-17 12:00:00,28,597,RV,Flanagan,Tafoya,,,51.0,44.0,0.0,0.0,5.0,Dem,51.0,44.0,7.0,7.0,95.0,5.0,0.95,7.0,Deep Root,deep root,Deep Root,normalized_alias,7.0,0.0,,0.0,pollster_registry,low,Automatically added from manual polls; house effect pending review.,7.0,7.0,7.0,-7.0,-51.0,False,12.638060402969602,0.95,12.00615738282112,,28,,,1.0,25.0,0.46009382531243753,1.0,0.9974968671630001,1.0,partisan,0.8,1.0,0.0,8.0,0.3671537194801577,0.3671537194801577,2.9372297558412614
