holdout_cycle,training_rows,test_rows,intercept,presidential_slope,generic_ballot_slope,approval_slope,training_residual_sd,mae,rmse,brier,directional_accuracy,r_squared
2012,202,32,-3.534695019389334,1.0032396203409688,1.5866379162914623,-0.13582391462817187,10.85150868562019,11.666974120425428,14.57147021841035,0.150693813616562,0.75,0.6154637140739945
2014,199,35,-2.3275966862330937,1.0217487735394757,1.2273091772877984,0.02638472113881681,11.24528668134343,8.12300087204939,11.883763821075052,0.06736545185479215,0.8857142857142857,0.7432090727353425
2016,201,33,0.47758668006110744,0.9755056645548825,0.4911894256978428,0.26622697955138025,10.430279131822347,12.33636238921742,16.974155692461967,0.11128651478196845,0.8181818181818182,0.6411173904362213
2018,201,33,-2.4212171489282537,1.0518455090053973,0.7862518846584025,-0.025306005986060958,11.210775022749546,9.811693830523662,13.384665128870404,0.12235427850581254,0.8484848484848485,0.5303559478154503
2020,201,33,-1.864893664429951,1.0057136925065915,1.633573364906198,-0.047985357211277835,11.572675697257157,7.310767400544528,10.692645025432762,0.07671318668647663,0.9090909090909091,0.7718703157574877
2022,200,34,-1.9931142818808554,1.0052080501066962,1.1329492710502953,0.030641044309747338,11.694949537415196,6.422554431136452,9.008850455837006,0.05938570973585873,0.8823529411764706,0.8702122704532452
2024,200,34,-1.8383731617921877,1.038146667804648,1.2106012592315356,-0.01281515443731105,11.916835826165181,5.080509639804812,7.236809576103523,0.05089487849345921,0.9411764705882353,0.8846507677630611
