cycle,election_date,election_type,october_gas_price_nominal,october_gas_price_real,gas_change_3m_pct,gas_change_6m_pct,gas_change_12m_pct,real_gas_change_12m_pct,gas_change_jan_to_oct_pct,jan_oct_avg_gas,prior_year_jan_oct_avg_gas,jan_oct_vs_prior_year_pct,jan_oct_avg_real_gas,prior_year_jan_oct_avg_real_gas,real_jan_oct_vs_prior_year_pct,jan_oct_peak_gas,jan_oct_peak_month,peak_vs_prior_year_jan_oct_avg_pct,october_change_from_ytd_peak_pct
1976,1976-11-02,presidential,0.629,3.627906873920553,0.9630818619582592,6.25,,,3.966942148760344,0.6116999999999999,,,3.6043350109499372,,,0.63,1976-09-01,,-0.15873015873015817
1978,1978-11-07,midterm,0.69,3.4340816691505216,2.373887240356076,6.317411402157158,3.7593984962405846,-4.745470232959437,6.481481481481466,0.6643000000000001,0.6547000000000001,1.4663204521154771,3.425030751938002,3.6238033575454045,-5.4851929311650505,0.69,1978-10-01,5.391782495799591,0.0
1980,1980-11-04,presidential,1.25,4.922641509433962,-1.6522423288748975,-1.1075949367088669,21.5953307392996,7.829821599001541,10.52166224580018,1.2433999999999998,0.8733000000000001,42.379480132829464,5.081936301657331,4.04759839555137,25.554361006832593,1.271,1980-07-01,45.539906103286356,-1.6522423288748977
1982,1982-11-02,midterm,1.295,4.40394949083503,-2.704733283245686,5.714285714285694,-5.5433989788475575,-10.16042224668392,-4.639175257731976,1.3003,1.3805,-5.80948931546541,4.512879814601008,5.105525298025973,-11.6079237459485,1.358,1982-01-01,-1.6298442593263296,-4.639175257731976
1984,1984-11-06,presidential,1.209,3.834263703703704,-0.2475247524752366,-1.4669926650366705,-3.6653386454183146,-7.59923269883428,-0.5756578947368363,1.2147,1.2422,-2.213814200611819,3.9161105870909934,4.178108816754018,-6.270737339640952,1.236,1984-05-01,-0.49911447431975065,-2.1844660194174637
1986,1986-11-04,midterm,0.831,2.515993762466002,-6.629213483146068,-6.4189189189189255,-30.98006644518273,-31.981262217510075,-30.40201005025126,0.9484999999999999,1.2006000000000001,-20.997834416125283,2.894765829031898,3.7378498931224997,-22.55532159388862,1.194,1986-01-01,-0.5497251374313006,-30.40201005025126
1988,1988-11-08,presidential,0.957,2.6588358069883524,-1.0341261633919352,2.903225806451593,-1.946721311475408,-5.943901557513442,2.5723472668810254,0.9475000000000001,0.9443999999999999,0.32825074121136666,2.685091543815459,2.783437642372261,-3.5332603489900305,0.987,1988-08-01,4.510800508259227,-3.039513677811556
1990,1990-11-06,midterm,1.378,3.4470850636704116,27.121771217712155,31.99233716475094,34.17721518987342,26.237140283506367,32.24568138195776,1.1240999999999999,1.0287,9.273840769903764,2.8835134462234757,2.779101825922999,3.757027516104028,1.378,1990-10-01,33.955477787498786,0.0
1992,1992-11-03,presidential,1.154,2.7177757968970377,-1.703577512776833,6.950880444856344,2.852049910873422,-0.339410029943521,7.548928238583397,1.1222999999999999,1.1424,-1.759453781512621,2.67673814434596,2.8083917154333746,-4.6878635328511775,1.179,1992-06-01,3.2037815126050306,-2.120441051738775
1994,1994-11-08,midterm,1.152,2.573329123745819,1.4084507042253502,8.270676691729317,2.2182786157941337,-0.3799117436708688,10.450623202301056,1.1035999999999997,1.1112,-0.6839452843772742,2.490705052889186,2.57370070172853,-3.2247591487076566,1.182,1994-08-01,6.371490280777525,-2.5380710659898553
