dem_seats,probability,count
14.0,4e-05,2
15.0,6e-05,3
16.0,0.00086,43
17.0,0.01886,943
18.0,0.0531,2655
19.0,0.11678,5839
20.0,0.18226,9113
21.0,0.19932,9966
22.0,0.2295,11475
23.0,0.19468,9734
24.0,0.00364,182
25.0,0.0009,45
