global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,cycle
5.0,32,0.12466486051627086,0.5437764764435894,0.15250504053424452,0.21709452419138653,0.6927854418202665,0.1875,-0.3125,0.3125,0.40625,-0.39375000000000004,0.39375000000000004,0.53125,-0.41874999999999996,0.41874999999999996,0.375,0.41874999999999996,2012
5.0,35,0.06866559458188369,0.2806342170726606,0.053973019898983246,0.08338826825577285,0.19888406729313707,0.3142857142857143,-0.18571428571428572,0.18571428571428572,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.6857142857142857,-0.26428571428571423,0.26428571428571423,0.2261904761904762,0.26428571428571423,2014
5.0,33,0.10922218431237755,0.3197762760099376,0.13250396293906153,0.21472807400689342,0.7622697438985393,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.42424242424242425,-0.3757575757575758,0.3757575757575758,0.6363636363636364,-0.3136363636363636,0.3136363636363636,0.33585858585858586,0.3757575757575758,2016
5.0,33,0.10211874580369447,1.1786020782288924,0.12049332684371461,0.19478412083907906,0.8568934370910446,0.30303030303030304,-0.19696969696969696,0.19696969696969696,0.5151515151515151,-0.2848484848484849,0.2848484848484849,0.7878787878787878,-0.1621212121212121,0.1621212121212121,0.21464646464646467,0.2848484848484849,2018
5.0,33,0.059289775230311,0.2037631556013309,0.06443375523943223,0.126244636313622,0.5633747160594719,0.45454545454545453,-0.04545454545454547,0.04545454545454547,0.7272727272727273,-0.07272727272727275,0.07272727272727275,0.8787878787878788,-0.07121212121212117,0.07121212121212117,0.06313131313131314,0.07272727272727275,2020
5.0,34,0.04093825669442374,0.12414527630346213,0.06528911065240955,0.14047228677363183,0.44224009241896356,0.4411764705882353,-0.05882352941176472,0.05882352941176472,0.6470588235294118,-0.15294117647058825,0.15294117647058825,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.11274509803921569,0.15294117647058825,2022
5.0,34,0.03162247515113082,0.10290826234685942,0.045542565614344166,0.09569501344197082,0.31810939343372713,0.4411764705882353,-0.05882352941176472,0.05882352941176472,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.09313725490196079,0.1264705882352941,2024
5.25,32,0.12408949510537767,0.5170281365816881,0.15139225919982413,0.21620874465817375,0.6843054792771874,0.21875,-0.28125,0.28125,0.4375,-0.36250000000000004,0.36250000000000004,0.5625,-0.38749999999999996,0.38749999999999996,0.34375,0.38749999999999996,2012
5.25,35,0.06824629574640878,0.2698178818502116,0.052474859600317975,0.09471934936829418,0.31256418142129416,0.3142857142857143,-0.18571428571428572,0.18571428571428572,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.7714285714285715,-0.1785714285714285,0.1785714285714285,0.1976190476190476,0.22857142857142865,2014
5.25,33,0.10721487383813127,0.31049637134754265,0.13129365714011149,0.2121599122078492,0.6069329776721837,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.42424242424242425,-0.3757575757575758,0.3757575757575758,0.6666666666666666,-0.2833333333333333,0.2833333333333333,0.32575757575757575,0.3757575757575758,2016
5.25,33,0.10186368801650822,1.1637121855651933,0.10508242699641085,0.13652364891849234,0.29744485445785684,0.30303030303030304,-0.19696969696969696,0.19696969696969696,0.5151515151515151,-0.2848484848484849,0.2848484848484849,0.7878787878787878,-0.1621212121212121,0.1621212121212121,0.21464646464646467,0.2848484848484849,2018
5.25,33,0.05915629097490565,0.19992433205741644,0.07157720797363061,0.12997864601766895,0.5603806020261966,0.45454545454545453,-0.04545454545454547,0.04545454545454547,0.7878787878787878,-0.0121212121212122,0.0121212121212122,0.8787878787878788,-0.07121212121212117,0.07121212121212117,0.04292929292929295,0.07121212121212117,2020
5.25,34,0.0412944170076442,0.12583768013635474,0.06671445387546882,0.1416751275364408,0.44493175304266863,0.4411764705882353,-0.05882352941176472,0.05882352941176472,0.6764705882352942,-0.12352941176470589,0.12352941176470589,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.10294117647058824,0.1264705882352941,2022
