probability_bucket,races,mean_predicted_dem_probability,observed_dem_win_rate,mean_predicted_margin_dem,mean_actual_margin_dem,mean_brier_contribution,mean_log_loss_contribution,calibration_error,absolute_calibration_error
"(-0.001, 0.1]",85,0.019618135078383357,0.03529411764705882,-23.864272621831503,-26.682924686332402,0.0340284133637999,0.2287829571085626,0.015675982568675466,0.015675982568675466
"(0.1, 0.2]",13,0.14789182127643496,0.07692307692307693,-9.188323219739738,-9.340081439907657,0.07590112894276355,0.2926566648254512,-0.07096874435335804,0.07096874435335804
"(0.2, 0.3]",1,0.2489241636458978,0.0,-5.931442473559063,-8.705251955409139,0.061963239246809715,0.2862486518180509,-0.2489241636458978,0.2489241636458978
"(0.3, 0.4]",8,0.3477423552193201,0.125,-3.436782261369973,-6.226700690658477,0.15018656318606122,0.48606566749123953,-0.22274235521932012,0.22274235521932012
"(0.4, 0.5]",6,0.4556871204534974,0.6666666666666666,-0.9763580070818653,3.769371832751247,0.26716068976947166,0.7277390000678641,0.21097954621316922,0.21097954621316922
"(0.5, 0.6]",10,0.5445517412532563,0.7,0.9821899637309246,0.7850688802732364,0.23681424000355414,0.6664702891028718,0.15544825874674362,0.15544825874674362
"(0.6, 0.7]",10,0.6393983090784114,0.6,3.132044486276211,-0.6516372194628574,0.2463034081254548,0.6864617868143786,-0.039398309078411464,0.039398309078411464
"(0.7, 0.8]",15,0.7604256934802066,0.8,6.20220964185985,4.80910098040882,0.15801223362103162,0.49509791902676864,0.039574306519793434,0.039574306519793434
"(0.8, 0.9]",13,0.8477378086360837,0.8461538461538461,9.062026386521906,11.096806642733467,0.12562022675381362,0.41144236793664235,-0.0015839624822375775,0.0015839624822375775
"(0.9, 1.0]",73,0.9824333698851438,0.9726027397260274,24.132781585427324,22.72911697021543,0.024569402133299917,0.0899841923706535,-0.009830630159116449,0.009830630159116449
