evaluation_model,races,mae,rmse,brier,winner_accuracy,mean_error,absolute_mean_error,mae_rank,rmse_rank,brier_rank,absolute_mean_error_rank,winner_accuracy_rank,mean_rank
Fixed GB=0.95,234,7.766088346274674,11.3988015174116,0.07446204784323103,0.9017094017094017,1.6755644940827767,1.6755644940827767,1.0,2.0,3.0,4.0,1.0,2.2
Fixed GB=0.90,234,7.768308721420263,11.402810546087508,0.07435149086349499,0.9017094017094017,1.602124323142606,1.602124323142606,2.0,3.0,2.0,3.0,1.0,2.2
Fixed GB=0.85,234,7.781003724382667,11.410143842397027,0.07427985189079118,0.9017094017094017,1.528684152202435,1.528684152202435,4.0,4.0,1.0,1.0,1.0,2.2
Fixed GB=1.00,234,7.772636886524213,11.39812026407567,0.07461051202329394,0.8974358974358975,1.7490046650229472,1.7490046650229472,3.0,1.0,4.0,5.0,5.0,3.6
LOCO-selected coefficient,234,7.964927989932272,11.548227425968559,0.07599830151426254,0.9017094017094017,1.5620388530571356,1.5620388530571356,5.0,5.0,5.0,2.0,1.0,3.6
