model_id,model_family,model_family_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,component_count,cycle,n_observations,races,mae,rmse,mean_error_dem,brier,winner_accuracy,mean_error,absolute_mean_error
generic_only__gb_p1_05__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,1.05,0.0,0.0,1,2012,32,32,10.237601287834128,13.352044427044163,-1.4501586774533546,0.11364489611539677,0.84375,-1.4501586774533546,1.4501586774533546
generic_only__gb_p1_10__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,1.1,0.0,0.0,1,2012,32,32,10.238851287834128,13.353134222170842,-1.4601586774533533,0.1137242676992534,0.84375,-1.4601586774533533,1.4601586774533533
generic_only__gb_p1_15__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,1.15,0.0,0.0,1,2012,32,32,10.240101287834129,13.354231416628185,-1.4701586774533542,0.11380371015049377,0.84375,-1.4701586774533542,1.4701586774533542
generic_only__gb_p1_20__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,1.2,0.0,0.0,1,2012,32,32,10.241351287834128,13.35533600859253,-1.4801586774533535,0.11388322342206766,0.84375,-1.4801586774533535,1.4801586774533535
generic_plus_approval__gb_p0_00__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,0.0,0.0,2,2012,32,32,10.211351287834129,13.330871079461787,-1.2401586774533535,0.11199454584577878,0.84375,-1.2401586774533535,1.2401586774533535
generic_plus_approval__gb_p0_00__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,0.2,0.0,2,2012,32,32,10.153017954500795,13.295578967563566,-0.7734920107866867,0.10844120206479503,0.875,-0.7734920107866867,0.7734920107866867
generic_plus_approval__gb_p0_00__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,0.4,0.0,2,2012,32,32,10.122288594430895,13.276606192237615,-0.3068253441200208,0.10504886337823549,0.875,-0.3068253441200208,0.3068253441200208
generic_plus_approval__gb_p0_00__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,0.6,0.0,2,2012,32,32,10.09312192776423,13.274022730143312,0.15984132254664551,0.10182172043393331,0.875,0.15984132254664551,0.15984132254664551
generic_plus_approval__gb_p0_00__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,0.8,0.0,2,2012,32,32,10.10112693605678,13.287838140665167,0.6265079892133132,0.09876371212641341,0.875,0.6265079892133132,0.6265079892133132
generic_plus_approval__gb_p0_00__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.0,1.0,0.0,2,2012,32,32,10.130293602723446,13.318001389856743,1.093174655879979,0.09587857793533822,0.875,1.093174655879979,1.093174655879979
generic_plus_approval__gb_p0_05__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,0.0,0.0,2,2012,32,32,10.21260128783413,13.331805088238418,-1.250158677453354,0.11207241846266519,0.84375,-1.250158677453354,1.250158677453354
generic_plus_approval__gb_p0_05__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,0.2,0.0,2,2012,32,32,10.154267954500794,13.29616448164411,-0.7834920107866875,0.1085156725173918,0.875,-0.7834920107866875,0.7834920107866875
generic_plus_approval__gb_p0_05__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,0.4,0.0,2,2012,32,32,10.122913594430896,13.276841058423672,-0.31682534412002106,0.10511983880594566,0.875,-0.31682534412002106,0.31682534412002106
generic_plus_approval__gb_p0_05__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,0.6,0.0,2,2012,32,32,10.09374692776423,13.27390607974572,0.14984132254664662,0.101889113839155,0.875,0.14984132254664662,0.14984132254664662
generic_plus_approval__gb_p0_05__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,0.8,0.0,2,2012,32,32,10.100501936056778,13.287370405491512,0.6165079892133132,0.09882744140416683,0.875,0.6165079892133132,0.6165079892133132
generic_plus_approval__gb_p0_05__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.05,1.0,0.0,2,2012,32,32,10.129668602723447,13.317184294253366,1.0831746558799802,0.09593856462289085,0.875,1.0831746558799802,1.0831746558799802
generic_plus_approval__gb_p0_10__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,0.0,0.0,2,2012,32,32,10.213851287834128,13.332746531916401,-1.260158677453354,0.11215036291977329,0.84375,-1.260158677453354,1.260158677453354
generic_plus_approval__gb_p0_10__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,0.2,0.0,2,2012,32,32,10.155517954500795,13.296757490574539,-0.793492010786688,0.10859021686943035,0.875,-0.793492010786688,0.793492010786688
generic_plus_approval__gb_p0_10__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,0.4,0.0,2,2012,32,32,10.123538594430897,13.277083452231782,-0.32682534412001996,0.1051908900586404,0.875,-0.32682534412001996,0.32682534412001996
generic_plus_approval__gb_p0_10__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,0.6,0.0,2,2012,32,32,10.09437192776423,13.273796961964553,0.13984132254664616,0.10195658487826945,0.875,0.13984132254664616,0.13984132254664616
generic_plus_approval__gb_p0_10__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,0.8,0.0,2,2012,32,32,10.09987693605678,13.286910180058696,0.6065079892133136,0.0988912500321659,0.875,0.6065079892133136,0.6065079892133136
generic_plus_approval__gb_p0_10__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.1,1.0,0.0,2,2012,32,32,10.129043602723446,13.316374658066321,1.0731746558799793,0.09599863231350822,0.875,1.0731746558799793,1.0731746558799793
generic_plus_approval__gb_p0_15__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,0.0,0.0,2,2012,32,32,10.215101287834129,13.333695408920883,-1.2701586774533542,0.11222837917143529,0.84375,-1.2701586774533542,1.2701586774533542
generic_plus_approval__gb_p0_15__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,0.2,0.0,2,2012,32,32,10.156767954500795,13.297357993352133,-0.8034920107866863,0.10866483507823226,0.875,-0.8034920107866863,0.8034920107866863
generic_plus_approval__gb_p0_15__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,0.4,0.0,2,2012,32,32,10.124163594430897,13.277333373249668,-0.33682534412001996,0.10526201709635549,0.875,-0.33682534412001996,0.33682534412001996
generic_plus_approval__gb_p0_15__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,0.6,0.0,2,2012,32,32,10.09499692776423,13.273695376985584,0.12984132254664682,0.102024133513581,0.875,0.12984132254664682,0.12984132254664682
generic_plus_approval__gb_p0_15__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,0.8,0.0,2,2012,32,32,10.09925193605678,13.2864574651471,0.5965079892133127,0.09895513797440758,0.875,0.5965079892133127,0.5965079892133127
generic_plus_approval__gb_p0_15__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.15,1.0,0.0,2,2012,32,32,10.128418602723446,13.315572482656288,1.0631746558799802,0.0960587809722225,0.875,1.0631746558799802,1.0631746558799802
generic_plus_approval__gb_p0_20__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,0.0,0.0,2,2012,32,32,10.21635128783413,13.33465171766503,-1.280158677453353,0.11230646717191772,0.84375,-1.280158677453353,1.280158677453353
generic_plus_approval__gb_p0_20__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,0.2,0.0,2,2012,32,32,10.158017954500796,13.297965988961682,-0.8134920107866871,0.10873952710105725,0.875,-0.8134920107866871,0.8134920107866871
generic_plus_approval__gb_p0_20__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,0.4,0.0,2,2012,32,32,10.124788594430896,13.27759082105228,-0.34682534412002086,0.1053332198790728,0.875,-0.34682534412002086,0.34682534412002086
generic_plus_approval__gb_p0_20__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,0.6,0.0,2,2012,32,32,10.09562192776423,13.273601324981762,0.11984132254664592,0.10209175970735118,0.875,0.11984132254664592,0.11984132254664592
generic_plus_approval__gb_p0_20__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,0.8,0.0,2,2012,32,32,10.098626936056778,13.286012261524482,0.5865079892133133,0.09901910519485937,0.875,0.5865079892133133,0.5865079892133133
generic_plus_approval__gb_p0_20__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.2,1.0,0.0,2,2012,32,32,10.127793602723447,13.314777769371734,1.0531746558799795,0.09611901056405099,0.875,1.0531746558799795,1.0531746558799795
generic_plus_approval__gb_p0_25__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,0.0,0.0,2,2012,32,32,10.217601287834128,13.335615456550029,-1.2901586774533544,0.11238462687542153,0.84375,-1.2901586774533544,1.2901586774533544
generic_plus_approval__gb_p0_25__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,0.2,0.0,2,2012,32,32,10.159267954500795,13.29858147637549,-0.8234920107866873,0.10881429289510307,0.875,-0.8234920107866873,0.8234920107866873
generic_plus_approval__gb_p0_25__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,0.4,0.0,2,2012,32,32,10.125413594430896,13.277855795201805,-0.35682534412002065,0.10540449836671993,0.875,-0.35682534412002065,0.35682534412002065
generic_plus_approval__gb_p0_25__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,0.6,0.0,2,2012,32,32,10.09624692776423,13.273514806113212,0.10984132254664636,0.10215946342179819,0.875,0.10984132254664636,0.10984132254664636
generic_plus_approval__gb_p0_25__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,0.8,0.0,2,2012,32,32,10.09800193605678,13.285574569945954,0.5765079892133129,0.09908315165745879,0.875,0.5765079892133129,0.5765079892133129
generic_plus_approval__gb_p0_25__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.25,1.0,0.0,2,2012,32,32,10.127168602723447,13.313990519548906,1.04317465587998,0.09617932105399561,0.875,1.04317465587998,1.04317465587998
generic_plus_approval__gb_p0_30__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,0.0,0.0,2,2012,32,32,10.218851287834127,13.33658662396511,-1.3001586774533538,0.11246285823608185,0.84375,-1.3001586774533538,1.3001586774533538
generic_plus_approval__gb_p0_30__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,0.2,0.0,2,2012,32,32,10.160517954500795,13.299204454553402,-0.8334920107866872,0.10888913241750549,0.875,-0.8334920107866872,0.8334920107866872
generic_plus_approval__gb_p0_30__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,0.4,0.0,2,2012,32,32,10.126038594430897,13.278128295247662,-0.36682534412002,0.10547585251917,0.875,-0.36682534412002,0.36682534412002
generic_plus_approval__gb_p0_30__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,0.6,0.0,2,2012,32,32,10.09687192776423,13.27343582052724,0.09984132254664635,0.1022272446190968,0.875,0.09984132254664635,0.09984132254664635
generic_plus_approval__gb_p0_30__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,0.8,0.0,2,2012,32,32,10.09737693605678,13.28514439115399,0.5665079892133134,0.09914727732611318,0.875,0.5665079892133134,0.5665079892133134
generic_plus_approval__gb_p0_30__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.3,1.0,0.0,2,2012,32,32,10.126543602723446,13.313210734511813,1.0331746558799797,0.09623971240704263,0.875,1.0331746558799797,1.0331746558799797
generic_plus_approval__gb_p0_35__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,0.0,0.0,2,2012,32,32,10.22010128783413,13.337565218287562,-1.3101586774533542,0.1125411612079682,0.84375,-1.3101586774533542,1.3101586774533542
generic_plus_approval__gb_p0_35__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,0.2,0.0,2,2012,32,32,10.161767954500796,13.299834922442791,-0.8434920107866868,0.10896404562533787,0.875,-0.8434920107866868,0.8434920107866868
generic_plus_approval__gb_p0_35__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,0.4,0.0,2,2012,32,32,10.126663594430896,13.27840832072651,-0.3768253441200202,0.10554728229624148,0.875,-0.3768253441200202,0.3768253441200202
generic_plus_approval__gb_p0_35__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,0.6,0.0,2,2012,32,32,10.09749692776423,13.27336436835834,0.08984132254664567,0.10229510326137797,0.875,0.08984132254664567,0.08984132254664567
generic_plus_approval__gb_p0_35__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,0.8,0.0,2,2012,32,32,10.09675193605678,13.284721725878418,0.5565079892133133,0.09921148216469947,0.875,0.5565079892133133,0.5565079892133133
generic_plus_approval__gb_p0_35__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.35,1.0,0.0,2,2012,32,32,10.125918602723445,13.312438415572219,1.0231746558799808,0.09630018458816239,0.875,1.0231746558799808,1.0231746558799808
generic_plus_approval__gb_p0_40__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,0.0,0.0,2,2012,32,32,10.221351287834128,13.338551237882742,-1.3201586774533527,0.11261953574508424,0.84375,-1.3201586774533527,1.3201586774533527
generic_plus_approval__gb_p0_40__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,0.2,0.0,2,2012,32,32,10.163017954500795,13.300472878978573,-0.8534920107866869,0.10903903247561145,0.875,-0.8534920107866869,0.8534920107866869
generic_plus_approval__gb_p0_40__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,0.4,0.0,2,2012,32,32,10.127288594430897,13.278695871162249,-0.3868253441200209,0.10561878765769807,0.875,-0.3868253441200209,0.3868253441200209
generic_plus_approval__gb_p0_40__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,0.6,0.0,2,2012,32,32,10.09812192776423,13.273300449728161,0.07984132254664633,0.10236303931072872,0.875,0.07984132254664633,0.07984132254664633
generic_plus_approval__gb_p0_40__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,0.8,0.0,2,2012,32,32,10.09612693605678,13.284306574836407,0.5465079892133125,0.09927576613706375,0.875,0.5465079892133125,0.5465079892133125
generic_plus_approval__gb_p0_40__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.4,1.0,0.0,2,2012,32,32,10.125293602723447,13.31167356402963,1.01317465587998,0.09636073756230897,0.875,1.01317465587998,1.01317465587998
generic_plus_approval__gb_p0_45__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,0.0,0.0,2,2012,32,32,10.222601287834127,13.339544681104085,-1.3301586774533543,0.11269798180136796,0.84375,-1.3301586774533543,1.3301586774533543
generic_plus_approval__gb_p0_45__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,0.2,0.0,2,2012,32,32,10.164267954500795,13.301118323083223,-0.8634920107866879,0.1091140929252748,0.875,-0.8634920107866879,0.8634920107866879
generic_plus_approval__gb_p0_45__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,0.4,0.0,2,2012,32,32,10.127913594430897,13.278990946066036,-0.39682534412002024,0.10569036856324837,0.875,-0.39682534412002024,0.39682534412002024
generic_plus_approval__gb_p0_45__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,0.6,0.0,2,2012,32,32,10.09874692776423,13.273244064745546,0.06984132254664632,0.10243105272919176,0.875,0.06984132254664632,0.06984132254664632
generic_plus_approval__gb_p0_45__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,0.8,0.0,2,2012,32,32,10.09550193605678,13.283898938732467,0.5365079892133133,0.09934012920702102,0.875,0.5365079892133133,0.5365079892133133
generic_plus_approval__gb_p0_45__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.45,1.0,0.0,2,2012,32,32,10.124668602723446,13.310916181171292,1.0031746558799792,0.09642137129441977,0.875,1.0031746558799792,1.0031746558799792
generic_plus_approval__gb_p0_50__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,0.0,0.0,2,2012,32,32,10.22385128783413,13.340545546293127,-1.3401586774533543,0.11277649933069152,0.84375,-1.3401586774533543,1.3401586774533543
generic_plus_approval__gb_p0_50__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,0.2,0.0,2,2012,32,32,10.165517954500796,13.301771253666784,-0.8734920107866868,0.10918922693121406,0.875,-0.8734920107866868,0.8734920107866868
generic_plus_approval__gb_p0_50__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,0.4,0.0,2,2012,32,32,10.128538594430896,13.279293544936275,-0.40682534412002,0.10576202497254578,0.875,-0.40682534412002,0.40682534412002
generic_plus_approval__gb_p0_50__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,0.6,0.0,2,2012,32,32,10.09937192776423,13.273195213506504,0.05984132254664676,0.10249914347876526,0.875,0.05984132254664676,0.05984132254664676
generic_plus_approval__gb_p0_50__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,0.8,0.0,2,2012,32,32,10.094876936056778,13.283498818258437,0.5265079892133127,0.09940457133835494,0.875,0.5265079892133127,0.5265079892133127
generic_plus_approval__gb_p0_50__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.5,1.0,0.0,2,2012,32,32,10.124043602723447,13.310166268272164,0.9931746558799802,0.09648208574941541,0.875,0.9931746558799802,0.9931746558799802
generic_plus_approval__gb_p0_55__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,0.0,0.0,2,2012,32,32,10.225101287834129,13.341553831779505,-1.350158677453353,0.11285508828686118,0.84375,-1.350158677453353,1.350158677453353
generic_plus_approval__gb_p0_55__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,0.2,0.0,2,2012,32,32,10.166767954500795,13.302431669626865,-0.8834920107866865,0.10926443445025266,0.875,-0.8834920107866865,0.8834920107866865
generic_plus_approval__gb_p0_55__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,0.4,0.0,2,2012,32,32,10.129163594430896,13.279603667258622,-0.41682534412002026,0.10583375684518818,0.875,-0.41682534412002026,0.41682534412002026
generic_plus_approval__gb_p0_55__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,0.6,0.0,2,2012,32,32,10.09999692776423,13.273153896094215,0.04984132254664564,0.10256731152140261,0.875,0.04984132254664564,0.04984132254664564
generic_plus_approval__gb_p0_55__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,0.8,0.0,2,2012,32,32,10.09425193605678,13.283106214093488,0.5165079892133132,0.09946909249481742,0.875,0.5165079892133132,0.5165079892133132
generic_plus_approval__gb_p0_55__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.55,1.0,0.0,2,2012,32,32,10.123418602723447,13.30942382659492,0.9831746558799792,0.09654288089219919,0.875,0.9831746558799792,0.9831746558799792
generic_plus_approval__gb_p0_60__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,0.0,0.0,2,2012,32,32,10.226351287834127,13.34256953588099,-1.3601586774533536,0.11293374862361746,0.84375,-1.3601586774533536,1.3601586774533536
generic_plus_approval__gb_p0_60__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,0.2,0.0,2,2012,32,32,10.168017954500794,13.303099569848653,-0.8934920107866867,0.10933971543915125,0.875,-0.8934920107866867,0.8934920107866867
generic_plus_approval__gb_p0_60__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,0.4,0.0,2,2012,32,32,10.129788594430897,13.279921312505996,-0.42682534412002093,0.10590556414071793,0.875,-0.42682534412002093,0.42682534412002093
generic_plus_approval__gb_p0_60__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,0.6,0.0,2,2012,32,32,10.10062192776423,13.273120112579035,0.039841322546647184,0.10263555681901214,0.875,0.039841322546647184,0.039841322546647184
generic_plus_approval__gb_p0_60__approval_p0_80__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,0.8,0.0,2,2012,32,32,10.09362693605678,13.282721126904107,0.5065079892133131,0.09953369264012846,0.875,0.5065079892133131,0.5065079892133131
generic_plus_approval__gb_p0_60__approval_p1_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.6,1.0,0.0,2,2012,32,32,10.122793602723446,13.308688857389932,0.9731746558799796,0.09660375668765697,0.875,0.9731746558799796,0.9731746558799796
generic_plus_approval__gb_p0_65__approval_p0_00__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.65,0.0,0.0,2,2012,32,32,10.227601287834128,13.343592656903482,-1.3701586774533538,0.11301248029463504,0.84375,-1.3701586774533538,1.3701586774533538
generic_plus_approval__gb_p0_65__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.65,0.2,0.0,2,2012,32,32,10.169267954500796,13.303774953204943,-0.903492010786688,0.10941506985460747,0.875,-0.903492010786688,0.903492010786688
generic_plus_approval__gb_p0_65__approval_p0_40__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.65,0.4,0.0,2,2012,32,32,10.130413594430896,13.28024648013859,-0.43682534412001983,0.10597744681862152,0.875,-0.43682534412001983,0.43682534412001983
generic_plus_approval__gb_p0_65__approval_p0_60__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.65,0.6,0.0,2,2012,32,32,10.10124692776423,13.273093863018492,0.029841322546646065,0.10270387933345693,0.875,0.029841322546646065,0.029841322546646065
