race_id,backtest_scorable,reason
2014_AL,False,Republican unopposed
2016_CA,False,Top-two election
2018_CA,False,Top-two election
2020_AR,False,Republican unopposed
2022_AK,False,Ranked-choice race; certified final-round major-party margin not yet ingested
