formula,formula_label,cycle,races,mae,rmse,mean_error_dem,brier,winner_accuracy
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2012,32,10.118330261097563,13.275293539175877,-0.24349201078668736,0.10384914284897998,0.875
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2014,35,7.9616232016007755,11.712618223153594,0.5587252491262564,0.06584069029237659,0.9142857142857143
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2016,33,11.668596186191968,16.24721124265836,8.226983444185196,0.10250257334327131,0.8484848484848485
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2018,33,7.32537435861321,10.836168418399154,-2.8897585312319496,0.10099834151656892,0.8787878787878788
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2020,33,5.752243772716389,9.279636622798057,2.6793483611585542,0.06030126817994739,0.9090909090909091
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2022,34,6.26468755759662,9.07257842695535,1.048984297551937,0.05213272103726716,0.9117647058823529
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,2024,34,5.200981594797317,7.180906784187088,2.056943178784393,0.04460771362497752,0.9117647058823529
generic_0_85,0.85 × generic ballot,2012,32,10.232601287834129,13.34775927590713,-1.4101586774533548,0.11211849200704688,0.84375
generic_0_85,0.85 × generic ballot,2014,35,8.01147568522966,11.802663942500532,1.5587252491262564,0.06706565500660924,0.9142857142857143
generic_0_85,0.85 × generic ballot,2016,33,10.981905056556108,15.614449347431847,6.893650110851863,0.09102378533357675,0.8484848484848485
generic_0_85,0.85 × generic ballot,2018,33,7.744505995081553,11.265271701989297,-4.223091864565284,0.10439736469663037,0.8787878787878788
generic_0_85,0.85 × generic ballot,2020,33,5.787597308069923,9.329123739630584,2.8460150278252225,0.060831244990786744,0.9090909090909091
generic_0_85,0.85 × generic ballot,2022,34,6.379118182623912,9.26829840669613,2.165650964218604,0.049236762705297775,0.9411764705882353
