formula,formula_label,races,mae,rmse,mean_error_dem,brier,winner_accuracy,mae_rank,rmse_rank,brier_rank
current_production,Current: 0.85 GB + 0.50 approval + 0.50 midterm,234,7.730347025943397,11.401844433793247,1.6321029556212376,0.07530873312064039,0.8931623931623932,1,2,4
generic_0_90,0.90 × generic ballot,234,7.768308721420263,11.402810546087508,1.6021243231426059,0.07494838626712662,0.9017094017094017,2,3,2
generic_1_00,1.00 × generic ballot,234,7.772636886524213,11.39812026407567,1.7490046650229472,0.07515693476440151,0.8974358974358975,3,1,3
generic_0_85,0.85 × generic ballot,234,7.781003724382667,11.410143842397028,1.5286841522024348,0.07489905573854505,0.9017094017094017,4,4,1
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),234,7.846583557440337,11.42596976917586,2.0286942120314944,0.07593915463251166,0.8974358974358975,5,5,5
generic_plus_midterm_loco_calibrated,Generic ballot + midterm with LOCO-calibrated slopes,234,8.019741171870928,11.519404356768833,0.5271661185513351,0.0781373682720628,0.8888888888888888,6,6,6
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,234,8.228217117799977,11.767457112433666,1.6985021245031031,0.07905310950112276,0.8974358974358975,7,7,7
