model_name,races,residual_mean,residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,cycle,applied_bias,applied_sd
bias_only,32,3.5010605056408637,13.48544276802854,10.794261168919194,13.727037366312008,0.13318034840919096,0.41211525224338386,4.318565653042775,0.1730150837183737,0.7004450523527466,0.3125,-0.1875,0.1875,0.5625,-0.23750000000000004,0.23750000000000004,0.78125,-0.16874999999999996,0.16874999999999996,0.19791666666666666,2012,-2.08090182818751,8.75
bias_only,35,0.19213760462224058,11.870085745771432,7.979513781911927,11.70086187408639,0.0647498861085098,0.20874215621361836,3.9820994570612065,0.07162436273940603,0.32003165116964294,0.4857142857142857,-0.01428571428571429,0.01428571428571429,0.8,0.0,0.0,0.9428571428571428,-0.0071428571428571175,0.0071428571428571175,0.007142857142857136,2014,-1.630862853748496,8.75
bias_only,33,-6.195209125989882,14.227530911601026,10.684301707185352,15.3189174776619,0.08557690573806158,0.25203643723927993,4.620525998063437,0.12121635260761356,0.6272331094837327,0.36363636363636365,-0.13636363636363635,0.13636363636363635,0.696969696969697,-0.10303030303030303,0.10303030303030303,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.1136363636363636,2016,-0.7284409848619812,8.75
bias_only,33,6.356669591659931,10.605674739204701,8.966667737327514,12.226164154002573,0.11274164337179172,0.6907465834021043,4.064182208565982,0.1413685603705581,0.6950321901789474,0.42424242424242425,-0.07575757575757575,0.07575757575757575,0.7575757575757576,-0.042424242424242475,0.042424242424242475,0.8787878787878788,-0.07121212121212117,0.07121212121212117,0.06313131313131314,2018,-2.498577727094647,8.75
bias_only,33,-1.8439324621678226,9.022161414667622,5.596921227997086,9.073744273218647,0.05588699691521446,0.18595011342122675,3.625676054869009,0.0916685955253535,0.47519369203620077,0.7575757575757576,0.25757575757575757,0.25757575757575757,0.8787878787878788,0.07878787878787874,0.07878787878787874,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.12575757575757573,2020,-1.3420825656574,8.75
bias_only,34,-0.589126170058919,9.147254237349427,6.308296073192076,9.030967882845854,0.05198225842058168,0.16262072829801236,3.620618394560275,0.07779810208768358,0.29463441260307816,0.6176470588235294,0.11764705882352944,0.11764705882352944,0.8529411764705882,0.05294117647058816,0.05294117647058816,0.9411764705882353,-0.008823529411764675,0.008823529411764675,0.059803921568627426,2022,-1.516524794159686,8.75
bias_only,34,-1.2945880611008909,6.9834649689253325,5.063595126683431,7.000740335877446,0.04462293267535552,0.1483769313488087,3.4080599250052583,0.08681016129613972,0.4566611047817821,0.6764705882352942,0.17647058823529416,0.17647058823529416,0.9117647058823529,0.11176470588235288,0.11176470588235288,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.10294117647058824,2024,-1.4140217843501688,8.75
closed_form_residual,32,3.5010605056408637,13.48544276802854,10.794261168919194,13.727037366312008,0.1274174487426596,0.3834379464688703,4.101089956251931,0.17407719499004484,0.6635876275168702,0.46875,-0.03125,0.03125,0.71875,-0.08125000000000004,0.08125000000000004,0.9375,-0.012499999999999956,0.012499999999999956,0.041666666666666664,2012,-2.08090182818751,10.892700211584057
closed_form_residual,35,0.19213760462224058,11.870085745771432,7.979513781911927,11.70086187408639,0.0667259984911599,0.21987549871242124,3.8802291220957232,0.08929811452481276,0.3303218152615752,0.6,0.09999999999999998,0.09999999999999998,0.8285714285714286,0.02857142857142858,0.02857142857142858,0.9714285714285714,0.021428571428571463,0.021428571428571463,0.05000000000000001,2014,-1.630862853748496,11.24415499903917
closed_form_residual,33,-6.195209125989882,14.227530911601026,10.684301707185352,15.3189174776619,0.08473535724387538,0.2594407110849225,4.329284046269465,0.12924332507066497,0.5263027235162587,0.5151515151515151,0.015151515151515138,0.015151515151515138,0.8484848484848485,0.048484848484848464,0.048484848484848464,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.055050505050505016,2016,-0.7284409848619812,10.549771971171332
closed_form_residual,33,6.356669591659931,10.605674739204701,8.966667737327514,12.226164154002573,0.11562058628100153,0.5520712138339913,3.9307010434567644,0.149831276854631,0.3487186374639981,0.5454545454545454,0.045454545454545414,0.045454545454545414,0.8484848484848485,0.048484848484848464,0.048484848484848464,0.9393939393939394,-0.010606060606060508,0.010606060606060508,0.034848484848484795,2018,-2.498577727094647,11.19826863279228
