model_name,mean_applied_bias,mean_applied_sd,residual_mean_value,residual_mean_delta_vs_baseline,margin_mae_value,margin_mae_delta_vs_baseline,margin_rmse_value,margin_rmse_delta_vs_baseline,brier_value,brier_delta_vs_baseline,binary_log_loss_value,binary_log_loss_delta_vs_baseline,margin_negative_log_likelihood_value,margin_negative_log_likelihood_delta_vs_baseline,expected_calibration_error_value,expected_calibration_error_delta_vs_baseline,coverage_50_value,coverage_50_delta_vs_baseline,coverage_80_value,coverage_80_delta_vs_baseline,coverage_95_value,coverage_95_delta_vs_baseline,mean_absolute_coverage_error_value,mean_absolute_coverage_error_delta_vs_baseline
current_baseline,0.0,8.75,-1.602124323142606,0.0,7.768308721420263,0.0,11.402810546087508,0.0,0.07424589309686787,0.0,0.2763490699141963,0.0,3.937129137084168,0.0,0.037744018237365756,0.0,0.5256410256410257,0.0,0.7991452991452992,0.0,0.905982905982906,0.0,0.023504273504273494,0.0
bias_only,-1.5986665992042548,8.75,-0.0034577239383505026,1.5986665992042557,7.882581336585159,0.11427261516489562,11.445687657117425,0.04287711102991665,0.07778366102128656,0.0035377679244186916,0.2919477666295855,0.015598696715389215,3.943527031577723,0.00639789449355499,0.04350029547905474,0.005756277241688985,0.5213675213675214,-0.004273504273504258,0.782051282051282,-0.017094017094017144,0.8974358974358975,-0.008547008547008517,0.03062678062678063,0.0071225071225071365
sd_only,0.0,11.303563139138928,-1.602124323142606,0.0,7.768308721420263,0.0,11.402810546087508,0.0,0.076694464422895,0.0024485713260271325,0.2719316605689496,-0.004417409345246703,3.8727515910854637,-0.06437754599870438,0.052580442958036,0.014836424720670247,0.6367521367521367,0.11111111111111105,0.8589743589743589,0.05982905982905973,0.9401709401709402,0.03418803418803418,0.06851851851851846,0.045014245014244975
closed_form_residual,-1.5986665992042548,11.303563139138928,-0.0034577239383505026,1.5986665992042557,7.882581336585159,0.11427261516489562,11.445687657117425,0.04287711102991665,0.07985889608958714,0.005613002992719274,0.2833737909029318,0.007024720988735522,3.8771480360677373,-0.05998110101643084,0.054603831618189554,0.016859813380823797,0.6410256410256411,0.11538461538461542,0.8632478632478633,0.0641025641025641,0.9487179487179487,0.042735042735042694,0.06851851851851853,0.045014245014245044
