dem_seats,probability,count
11.0,4e-05,2
12.0,0.00046,23
13.0,0.00164,82
14.0,0.00248,124
15.0,0.00562,281
16.0,0.00994,497
17.0,0.01644,822
18.0,0.03624,1812
19.0,0.13652,6826
20.0,0.47494,23747
21.0,0.17068,8534
22.0,0.1448,7240
23.0,0.00016,8
24.0,4e-05,2
