simulation,dem_seats,dem_control,national_error
1,17.0,1,-5.683603149013889
2,20.0,1,0.3744560382002391
3,20.0,1,-1.563213137088308
4,22.0,1,4.701608854459967
5,20.0,1,1.7001212429834784
6,19.0,1,-1.892433648166033
7,21.0,1,-0.36122651507485204
8,20.0,1,-1.2244574830744277
9,20.0,1,-0.6398069750227559
10,22.0,1,5.293437011250981
11,20.0,1,0.8805160131273145
12,21.0,1,2.1699881248410313
13,22.0,1,9.387439227233497
14,20.0,1,-0.4249098369645821
15,22.0,1,4.336342356825108
16,21.0,1,2.729030770628039
17,20.0,1,-2.4967383678515955
18,20.0,1,0.5933142685855002
19,22.0,1,3.838893375024608
20,20.0,1,-2.79172445361864
21,20.0,1,0.14323254741383326
22,20.0,1,-0.41988533986312193
23,22.0,1,4.854892470683543
24,21.0,1,2.128589211327282
25,17.0,1,-5.216207604067184
26,19.0,1,-2.6727326564853198
27,20.0,1,-1.4366570066547792
28,19.0,1,-1.575709721696439
29,21.0,1,1.0376076855284275
30,19.0,1,-2.409558368027087
31,20.0,1,-0.17096662752884964
32,20.0,1,-0.9290474853044222
33,22.0,1,2.5678973891477423
34,22.0,1,3.7309085809414575
35,19.0,1,-3.1731669643290292
36,20.0,1,0.9739298458039927
37,21.0,1,3.0057833314291074
38,20.0,1,0.6226002928054375
39,20.0,1,0.3895489373943354
40,22.0,1,4.543716622808287
41,21.0,1,2.00419544989492
42,22.0,1,4.082929234679727
43,20.0,1,-1.5862236676182
44,20.0,1,-2.8835447717001053
45,16.0,0,-6.03081654898206
46,20.0,1,-1.9718864350469116
47,20.0,1,-0.38944406917675606
48,18.0,1,-3.9912273525566633
49,19.0,1,-3.9470498676867227
50,20.0,1,0.8782579473619408
51,21.0,1,4.406984775121525
52,14.0,0,-6.461222548690895
53,22.0,1,5.452061354461037
54,20.0,1,-2.7455136069814934
55,21.0,1,2.5701271873379965
56,19.0,1,-1.504510986401992
57,20.0,1,1.0830188042397668
58,20.0,1,-2.801085397641556
59,22.0,1,5.303439682728701
60,20.0,1,-0.9427213640572422
61,20.0,1,1.059384678711105
62,22.0,1,4.253096457752478
63,22.0,1,4.233779243333141
64,20.0,1,-3.620286434186172
65,18.0,1,-3.9683048884384284
66,19.0,1,-3.7419054370608396
67,17.0,1,-6.47135601325232
68,21.0,1,2.4877135416886347
69,20.0,1,0.7129749079264334
70,20.0,1,0.6319588642983195
71,19.0,1,-2.0576798800427745
72,20.0,1,-2.496247124224118
73,19.0,1,-2.250125927263677
74,20.0,1,-1.9082499384733758
75,20.0,1,0.6742652775438224
76,20.0,1,0.6664618012206865
77,19.0,1,0.03195078309288454
78,21.0,1,0.7794522828094629
79,20.0,1,0.22171500096279975
80,20.0,1,-2.6015941756461793
81,19.0,1,-4.205878970831146
82,20.0,1,1.0006281542958977
83,22.0,1,4.64726710803877
84,20.0,1,-1.227994342853336
85,16.0,0,-5.301203765244874
86,21.0,1,3.117899766995585
87,21.0,1,1.3042441104473603
88,20.0,1,-1.3243213872444257
89,20.0,1,-0.5793798799006974
90,20.0,1,-0.44711492201886543
91,20.0,1,-2.6087511894334
92,19.0,1,-1.352083553248222
