dem_seats,probability,count
7.0,0.00036,18
8.0,0.00202,101
9.0,0.0058,290
10.0,0.02076,1038
11.0,0.04006,2003
12.0,0.051,2550
13.0,0.07408,3704
14.0,0.14814,7407
15.0,0.56474,28237
16.0,0.09242,4621
17.0,0.00062,31
