dem_seats,probability,count
7.0,4e-05,2
8.0,8e-05,4
9.0,0.00098,49
10.0,0.00326,163
11.0,0.00986,493
12.0,0.0272,1360
13.0,0.10858,5429
14.0,0.12178,6089
15.0,0.18136,9068
16.0,0.36456,18228
17.0,0.10654,5327
18.0,0.07284,3642
19.0,0.00256,128
20.0,0.00032,16
21.0,4e-05,2
