held_out_cycle,train_cycles,train_observations,held_out_observations,selected_model_id,selected_model_family,selected_model_family_label,selected_generic_ballot_coefficient,selected_approval_coefficient,selected_midterm_coefficient,selected_component_count,train_mae,train_rmse,train_brier,train_winner_accuracy,train_mean_error,held_out_mae,held_out_rmse,held_out_brier,held_out_winner_accuracy,held_out_mean_error,held_out_absolute_mean_error
2012,"2014,2016,2018,2020,2022,2024",202,32,generic_only__gb_p0_90__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.9,0.0,0.0,1,7.377727720800244,11.063168150955542,0.06816444671709534,0.9108910891089109,2.08090182818751,10.233851287834128,13.348819455708954,0.11340720703764273,0.84375,-1.4201586774533534,1.4201586774533534
2014,"2012,2016,2018,2020,2022,2024",199,35,generic_plus_approval_plus_midterm__gb_p0_75__approval_p0_20__midterm_p1_00,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.75,0.2,1.0,3,7.719209380896291,11.344358990078454,0.07488989467819306,0.9095477386934674,1.7651593361605558,8.116817042295319,11.984432596405423,0.06884910647451564,0.9142857142857143,2.598725249126256,2.598725249126256
2016,"2012,2014,2018,2020,2022,2024",201,33,generic_plus_approval_plus_midterm__gb_p0_70__approval_p1_00__midterm_m0_20,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.7,1.0,-0.2,3,7.071195149699767,10.39311066554181,0.06906369051263346,0.9104477611940298,0.28674944257342383,12.328328043747652,16.910810638145524,0.11627054942729266,0.8181818181818182,9.470316777518528,9.470316777518528
2018,"2012,2014,2016,2020,2022,2024",201,33,generic_plus_approval_plus_midterm__gb_p0_45__approval_p0_00__midterm_m0_60,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.45,0.0,-0.6,3,7.759246994328972,11.361351708962047,0.0683024718962493,0.9104477611940298,2.0624583241095724,9.764910864151805,13.001050467026904,0.1212064450494448,0.8484848484848485,-7.743091864565284,7.743091864565284
2020,"2012,2014,2016,2018,2022,2024",201,33,generic_plus_approval_plus_midterm__gb_p1_00__approval_p0_00__midterm_m0_60,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,1.0,0.0,-0.6,3,8.047662357657396,11.661016912967167,0.07679270447276874,0.8955223880597015,1.0969581875479473,6.166830083042412,9.689108339063113,0.06371419290143657,0.9090909090909091,3.8660150278252217,3.8660150278252217
2022,"2012,2014,2016,2018,2020,2024",200,34,generic_plus_approval_plus_midterm__gb_p0_75__approval_p0_00__midterm_p1_00,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.75,0.0,1.0,3,7.996599514897562,11.731271357056494,0.07869136592389601,0.9,1.568149794159686,6.642647594388617,9.592018219093191,0.045836955526219164,0.9705882352941176,3.2856509642186054,3.2856509642186054
2024,"2012,2014,2016,2018,2020,2022",200,34,generic_plus_approval__gb_p0_75__approval_p0_20__midterm_p0_00,generic_plus_approval,Generic ballot + approval,0.75,0.2,0.0,2,8.20606393874906,11.993710841489904,0.07991834201182198,0.9,1.2783301176835011,5.390324134281874,7.315688168377512,0.041568015404358186,0.9411764705882353,2.4869431787843923,2.4869431787843923
