dem_seats,probability,count
8.0,0.00214,107
9.0,0.00298,149
10.0,0.00454,227
11.0,0.00676,338
12.0,0.0124,620
13.0,0.02312,1156
14.0,0.0765,3825
15.0,0.20762,10381
16.0,0.35244,17622
17.0,0.29884,14942
18.0,0.00922,461
19.0,0.0023,115
20.0,0.00078,39
21.0,0.00028,14
22.0,8e-05,4
