state,dem_candidate,gop_candidate,current_holder,polling_margin_dem,fundamentals_margin_dem,elasticity,state_elasticity,dem_win_counts_for_seat_change,race_tier,notes,tier_error_multiplier,polling_active,candidate_status_as_of,poll_count,latest_poll_end_date,avg_poll_age_days,election_system,rcv_enabled,rcv_transfer_dem_from_ind,rcv_transfer_rep_from_ind,rcv_exhaust_from_ind,rcv_transfer_dem_from_other,rcv_transfer_rep_from_other,rcv_exhaust_from_other,pres_2024_margin_dem,pres_2020_margin_dem,pres_2016_margin_dem,state_partisan_baseline_dem,national_environment_margin_dem,state_environment_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,fundamentals_notes,bayesian_model_margin_dem,bayesian_polling_weight,bayesian_posterior_sd,pre_bayes_model_margin_dem,holder_normalized,baseline_source,dem_nominee_confirmed,gop_nominee_confirmed,dem_prior_elected_office,gop_prior_elected_office,dem_prior_statewide_win,gop_prior_statewide_win,dem_prior_overperformance,gop_prior_overperformance,dem_candidate_liability,gop_candidate_liability,prior_elected_experience_adjustment_dem,prior_statewide_win_adjustment_dem,overperformance_adjustment_dem,candidate_liability_adjustment_dem,candidate_quality_gate,candidate_quality_notes,manual_candidate_quality_adjustment_dem,objective_candidate_quality_adjustment_dem
AK,Mary Peltola,Dan Sullivan,R,-6.0,-8.146083333333333,0.65,0.65,1,Likely,Republican-held; Sullivan incumbent; Democratic/independent field may include Mary Peltola.,0.85,True,2026-05-23,,,,top4_rcv,True,,,,,,,-13.13,-10.06,-14.7,-12.598,7.618333333333332,4.9519166666666665,-1.5,1.0,0.0,AK: GOP incumbent adjustment partly offset by Democratic crossover/candidate-strength placeholder.,-8.146083333333333,0.0,8.75,4.599999996432612,R,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
CO,John Hickenlooper,Republican nominee TBD,D,9.0,19.18558333333333,0.85,0.85,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,plurality,False,,,,,,,11.0,13.5,4.9,10.71,7.618333333333332,6.475583333333332,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",19.18558333333333,0.0,8.0,9.0,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
DE,Chris Coons,Republican nominee TBD,D,15.0,22.99375,0.75,0.75,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,plurality,False,,,,,,,14.7,19.0,11.4,15.279999999999998,7.618333333333332,5.713749999999999,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",22.99375,0.0,8.0,15.0,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
IL,Juliana Stratton,Don Tracy,D-open,14.0,19.03875,0.75,0.75,1,Safe,Open Democratic-held seat; Durbin retiring; current reporting identifies Stratton and Tracy as nominees/primary winners.,0.65,False,2026-05-23,,,,plurality,False,,,,,,,10.9,17.0,16.9,13.325,7.618333333333332,5.713749999999999,0.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",19.03875,0.0,8.0,14.000000000000002,OPEN,presidential_weighted,True,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Full candidate-quality effect because both nominees are confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
MA,Ed Markey,Republican nominee TBD,D,25.0,33.846,0.6,0.6,1,UltraSafe,Democratic-held,0.45,False,2026-05-23,,,,plurality,False,,,,,,,24.7,33.5,27.2,27.275,7.618333333333332,4.570999999999999,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",33.846,0.0,8.0,25.0,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
NJ,Cory Booker,Republican nominee TBD,D,11.0,17.98558333333333,0.85,0.85,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,plurality,False,,,,,,,5.7,15.9,14.1,9.51,7.618333333333332,6.475583333333332,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",17.98558333333333,0.0,8.0,11.000000000000004,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
NM,Ben Ray Lujan,Republican nominee TBD,D,9.0,16.386499999999998,0.9,0.9,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,plurality,False,,,,,,,6.0,10.8,8.2,7.529999999999999,7.618333333333332,6.8565,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",16.386499999999998,0.0,8.0,9.0,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
OR,Jeff Merkley,David Brock Smith,D,14.0,22.469666666666665,0.8,0.8,1,Safe,Democratic-held; David Brock Smith listed as GOP nominee in current reporting.,0.65,False,2026-05-23,,,,plurality,False,,,,,,,14.5,16.1,11.0,14.375,7.618333333333332,6.094666666666666,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",22.469666666666665,0.0,8.0,14.000000000000002,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
RI,Jack Reed,Republican nominee TBD,D,22.0,22.576916666666666,0.65,0.65,1,UltraSafe,Democratic-held,0.45,False,2026-05-23,,,,plurality,False,,,,,,,13.5,20.8,15.5,15.625,7.618333333333332,4.9519166666666665,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",22.576916666666666,0.0,8.0,22.000000000000007,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
VA,Mark Warner,Republican nominee TBD,D,7.0,15.917416666666664,0.95,0.95,1,Likely,Democratic-held,0.85,True,2026-05-23,,,,plurality,False,,,,,,,5.6,10.1,5.3,6.68,7.618333333333332,7.2374166666666655,2.0,0.0,0.0,"Calculated from 2024/2020/2016 presidential margins (60%/25%/15%), state elasticity, national environment, incumbency, candidate quality, and special adjustments.",15.917416666666664,0.0,8.0,7.000000000000001,D,presidential_weighted,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No candidate-quality effect because nominees are not confirmed. Manual CQ input: +0.00. Objective CQ before gate: +0.00. Final candidate-quality adjustment: +0.00. Liability scale: 0=no known liability; 0.5=mild weakness; 1.0=clear electoral weakness; 1.5=major documented liability; 2.0=severe nominee-quality problem. Dem liability hurts Democrats; GOP liability helps Democrats.,0.0,0.0
