dem_seats,probability,count
9.0,4e-05,2
10.0,0.0236,1180
11.0,0.23916,11958
12.0,0.14336,7168
13.0,0.11176,5588
14.0,0.09832,4916
15.0,0.0997,4985
16.0,0.10712,5356
17.0,0.10896,5448
18.0,0.06494,3247
19.0,0.00238,119
20.0,0.00066,33
