simulation,dem_seats,dem_control,national_error
1,15.0,0,1.494357291494317
2,18.0,1,3.990902920904387
3,17.0,0,3.0097879142010395
4,17.0,0,2.29504618181341
5,14.0,0,-0.6557814593026083
6,11.0,0,-0.4312984217939134
7,13.0,0,-0.9928642416299538
8,18.0,1,4.20327522271172
9,13.0,0,-0.3692264083143711
10,11.0,0,-3.4728383517269514
11,16.0,0,2.747917158422146
12,16.0,0,2.581512688075786
13,13.0,0,-0.6921100409733173
14,15.0,0,1.3216929483229691
15,12.0,0,-0.36924860428434036
16,16.0,0,2.285014799643835
17,13.0,0,-1.942219210524546
18,11.0,0,-2.1553831066753224
19,12.0,0,-3.429399005770818
20,18.0,1,5.109804560371716
21,11.0,0,-1.6167357045829969
22,12.0,0,0.38874245933105744
23,17.0,0,1.9163236481021857
24,14.0,0,1.384310314445236
25,17.0,0,3.563085568327952
26,15.0,0,1.4225490515557988
27,18.0,1,5.881911175429665
28,13.0,0,-0.0206044289002081
29,12.0,0,-1.5631594340453463
30,17.0,0,6.186020384966068
31,11.0,0,-2.362676157573471
32,11.0,0,-0.6357178855038487
33,11.0,0,-1.5043418919119604
34,12.0,0,-1.2460617905052538
35,18.0,1,5.134889571646659
36,13.0,0,-0.318073368023926
37,16.0,0,1.8388766943845163
38,13.0,0,0.04974310836451532
39,11.0,0,-4.392796025041471
40,11.0,0,-2.346498807628792
41,17.0,0,2.6406536177889532
42,11.0,0,-2.0291321412560315
43,11.0,0,-4.499135499818408
44,17.0,0,3.1805715776591126
45,18.0,1,4.740079530820751
46,17.0,0,4.032889003131253
47,18.0,1,6.510384861337688
48,11.0,0,-4.923979504329323
49,17.0,0,2.475063815138328
50,12.0,0,0.05669744729141139
51,17.0,0,0.8213772148950901
52,17.0,0,2.529524592260185
53,11.0,0,-2.032275164989855
54,18.0,1,6.458558192499423
55,11.0,0,-3.1086317782265014
56,11.0,0,-0.2742543901168477
57,12.0,0,-0.2537661624814411
58,12.0,0,-0.20135519394776324
59,18.0,1,4.735988352173808
60,14.0,0,0.9429944863062054
61,18.0,1,2.5281104892476782
