dem_seats,probability,count
12.0,0.00016,8
13.0,0.00054,27
14.0,0.0126,630
15.0,0.12246,6123
16.0,0.10158,5079
17.0,0.10918,5459
18.0,0.1196,5980
19.0,0.14702,7351
20.0,0.2597,12985
21.0,0.09834,4917
22.0,0.0256,1280
23.0,0.00322,161
