simulation,dem_seats,dem_control,national_error
1,21.0,1,3.7813043894134766
2,18.0,1,0.19849121031538586
3,15.0,0,-6.300955784055802
4,21.0,1,2.652838239751437
5,19.0,1,0.17486738854784986
6,16.0,0,-3.2729284439881035
7,17.0,0,-1.9795724681137394
8,21.0,1,3.677453823746284
9,17.0,0,-1.825595838417033
10,18.0,1,-0.19373757277111436
11,17.0,0,-3.1931846211121435
12,17.0,0,-1.644328100856838
13,15.0,0,-4.664308260009517
14,19.0,1,-0.4273197297158132
15,19.0,1,0.9440174187377586
16,16.0,0,-3.8409072445513472
17,21.0,1,2.5777897785085213
18,18.0,1,-1.384106925530334
19,21.0,1,3.426084363409151
20,15.0,0,-3.1459789078534977
21,17.0,0,-2.714522640055028
22,20.0,1,1.9138743199230945
23,20.0,1,2.4819563135490577
24,20.0,1,1.7908966991235804
25,15.0,0,-6.490477881678828
26,20.0,1,0.5841631780208129
27,17.0,0,-0.6558204602969758
28,17.0,0,-0.7845104924970644
29,21.0,1,2.0185063434312616
30,15.0,0,-3.9103730499750107
31,17.0,0,-2.034917563575544
32,18.0,1,-0.658110244857106
33,23.0,1,8.599049193609481
34,15.0,0,-5.099649053366045
35,16.0,0,-3.9335475180388406
36,18.0,1,-0.7797505352784415
37,21.0,1,1.8483561651170246
38,20.0,1,4.258217638508344
39,19.0,1,-0.7106674398579051
40,21.0,1,4.690742274191973
41,19.0,1,1.147099812559846
42,22.0,1,4.65735552914728
43,18.0,1,-1.405137046854986
44,18.0,1,0.05344110497782032
45,18.0,1,-1.519037210576199
46,21.0,1,3.5754180699569202
47,17.0,0,-2.4084950218181262
48,15.0,0,-6.878180263282737
49,20.0,1,1.6137948631978931
50,20.0,1,2.0870610304763706
51,19.0,1,-0.3825619635769494
52,18.0,1,-0.4898027239440187
53,15.0,0,-3.310296952447754
54,21.0,1,4.949810202923414
55,16.0,0,-2.750330870480875
56,16.0,0,-2.0127118806479167
57,15.0,0,-4.031682128693696
58,20.0,1,1.2320275013670183
59,19.0,1,-1.2253986501369434
60,16.0,0,-3.361948807123375
61,19.0,1,1.4927384473000866
62,17.0,0,-2.050556616996105
