snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem
2018_AZ_96_20181106_D120,2018,AZ,2018_AZ,2018-07-09,120,2.402957486136785,2.791759107726598,4.998097551512396,True,10.0,8.0,10.235311223539751,9.724754807171015,0.18,3.188900027608042,5.5,0.39714091988144373
2018_CT_98_20181106_D120,2018,CT,2018_CT,2018-07-09,120,20.408576995776254,20.85309503452728,,False,0.0,,0.0,,0.0,20.85309503452728,5.5,0.0
2018_DE_99_20181106_D120,2018,DE,2018_DE,2018-07-09,120,22.639007988446096,18.567242887362447,,False,0.0,,0.0,,0.0,18.567242887362447,5.5,0.0
2018_FL_100_20181106_D120,2018,FL,2018_FL,2018-07-09,120,-0.1225183560779328,5.3323290544490405,-3.3070434573501513,True,24.0,15.0,11.751624133553646,13.478889578154853,0.18,3.7772420023251865,5.5,-1.555087052123854
2018_IN_102_20181106_D120,2018,IN,2018_IN,2018-07-09,120,-6.162903216195062,-13.664619049016142,-4.312313328288844,True,2.0,2.0,6.105581952104115,7.500073678122339,0.099,-12.73874078266414,5.5,0.9258782663520027
2018_MA_105_20181106_D120,2018,MA,2018_MA,2018-07-09,120,25.038879177334593,35.872557379258986,26.28404499320074,True,5.0,2.0,1.7616738569410757,32.92251415428753,0.18,34.146625149768504,5.5,-1.725932229490482
2018_MD_104_20181106_D120,2018,MD,2018_MD,2018-07-09,120,36.30566322052462,34.59199101713032,,False,0.0,,0.0,,0.0,34.59199101713032,5.5,0.0
2018_MI_106_20181106_D120,2018,MI,2018_MI,2018-07-09,120,6.6371383113556135,6.334663566076905,10.83027765291652,True,2.0,2.0,5.991688390995901,7.006597259737758,0.099,6.779729360674027,5.5,0.4450657945971219
2018_MN_107_20181106_D120,2018,MN,2018_MN_REGULAR,2018-07-09,120,24.963466608899424,8.233387414360969,20.0,True,1.0,1.0,1.0,14.0,0.054,8.868784493985476,5.5,0.6353970796245072
2018_MN_129_20181106_D120,2018,MN,2018_MN_SPECIAL,2018-07-09,120,11.140619798671466,8.233387414360969,9.0,True,1.0,1.0,1.0,14.0,0.054,8.274784493985477,5.5,0.04139707962450778
2018_MO_109_20181106_D120,2018,MO,2018_MO,2018-07-09,120,-5.996633249741748,-13.067121991132131,0.1445156051049833,True,17.0,10.0,7.789569810572329,8.391305767832957,0.18,-10.68902722380945,5.5,2.378094767322681
