cycle,days_out,observations,polling_coverage,fundamentals_brier,production_brier,brier_improvement,fundamentals_log_loss,production_log_loss,log_loss_improvement,fundamentals_margin_mae,production_margin_mae,fundamentals_margin_rmse,production_margin_rmse,fundamentals_winner_accuracy,production_winner_accuracy,mean_polling_weight_polled,median_polling_weight_polled,max_polling_weight,mean_abs_probability_movement,median_abs_probability_movement,max_abs_probability_movement,races_moved_ge_5pp,races_moved_ge_10pp,winner_call_changes
2018,120,32.0,0.78125,0.10478521756706044,0.09429473380207568,0.010490483764984765,0.6524404141769272,0.5146513155313068,0.1377890986456204,7.790876412186986,6.6654660504570185,11.305211590723571,9.380921741444993,0.875,0.875,0.13824,0.18,0.18,0.017841987064685892,0.004674895717200898,0.10888816426669606,3.0,1.0,0.0
2018,90,32.0,0.84375,0.10478521756706044,0.09045592110767159,0.014329296459388852,0.6524404141769272,0.4463270011664816,0.2061134130104456,7.790876412186986,5.92085344747167,11.305211590723571,8.331318241452207,0.875,0.90625,0.2193611111111111,0.265,0.265,0.02596386028034929,0.011929358039029836,0.15360482203861425,5.0,2.0,1.0
2018,60,32.0,0.875,0.10612524195031155,0.08821389978791791,0.017911342162393637,0.7667500044699928,0.4296630536568966,0.33708695081309614,7.790876412186986,5.558699608523192,11.305211590723571,7.472240853582331,0.875,0.90625,0.30374999999999996,0.35,0.35,0.030339127779904516,0.0055598917360466064,0.21547263533687738,7.0,2.0,1.0
2018,30,32.0,0.90625,0.10866213283225978,0.08384015592649988,0.024821976905759907,0.9559187780813114,0.40237277665822996,0.5535460014230815,7.790876412186986,4.047533811460059,11.305211590723571,5.678891881938844,0.875,0.90625,0.4482758620689655,0.5,0.5,0.039835959072289914,0.0015642738830244918,0.6337929704992301,4.0,2.0,1.0
2018,14,32.0,0.90625,0.10866213283225978,0.07452937926985835,0.03413275356240143,0.9559187780813114,0.306925190780897,0.6489935873004145,7.790876412186986,3.4546194931954983,11.305211590723571,4.773964382650571,0.875,0.90625,0.5637816091954023,0.6066666666666667,0.6066666666666667,0.05723024134582157,0.0030858677460509076,0.693809120487525,8.0,4.0,1.0
2018,7,32.0,0.90625,0.10866213283225978,0.07015737716025078,0.038504755672009006,0.9559187780813114,0.2668930828637291,0.6890256952175824,7.790876412186986,3.4198111219060747,11.305211590723571,4.624363837418347,0.875,0.90625,0.6168239143544586,0.6533333333333333,0.6533333333333333,0.06172018459285857,0.006791451959389683,0.696470144498978,9.0,5.0,1.0
2018,0,32.0,0.9375,0.10866213283225978,0.0681338569698409,0.04052827586241889,0.9559187780813114,0.2322975686205859,0.7236212094607255,7.790876412186986,3.461143845370066,11.305211590723571,4.3440822211557535,0.875,0.90625,0.6416101345525412,0.7,0.7,0.07101867459658935,0.0043323742499028536,0.7003613370849576,9.0,7.0,1.0
2020,120,32.0,0.5625,0.06053778048708097,0.058326284336759314,0.002211496150321658,0.20055769442577134,0.19586509034815086,0.0046926040776204825,5.735269697455067,5.537713575463887,9.405438021656549,9.29957484517921,0.90625,0.90625,0.14450000000000002,0.18,0.18,0.019658509261248663,0.006708566493629701,0.06642633361937222,4.0,0.0,0.0
2020,90,32.0,0.59375,0.06053778048708097,0.05993994363150176,0.0005978368555792091,0.20055769442577134,0.19964540513247128,0.0009122892933000615,5.735269697455067,5.41186116289996,9.405438021656549,9.247244198486154,0.90625,0.9375,0.2231578947368421,0.265,0.265,0.03044882846737371,0.010685780182587479,0.09705185418334106,6.0,0.0,1.0
2020,60,32.0,0.65625,0.0612286211835469,0.05888797686546847,0.0023406443180784275,0.21139967267692267,0.20754293760699785,0.003856735069924816,5.735269697455067,5.344321975406621,9.405438021656549,9.177302172928803,0.90625,0.9375,0.2925,0.35,0.35,0.03302461212348019,0.010722032574613582,0.18360208095033714,5.0,2.0,1.0
2020,30,32.0,0.75,0.06284409808713182,0.06711468036689397,-0.004270582279762153,0.23738174440163934,0.2568312369448331,-0.01944949254319378,5.735269697455067,5.931006405228219,9.405438021656549,9.393203138273076,0.90625,0.9375,0.4270833333333333,0.5,0.5,0.042334075647311176,0.00779233973981841,0.26652793955987797,6.0,4.0,1.0
