snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem,actual_dem_win,fundamentals_prob_dem,production_prob_dem,probability_movement,abs_probability_movement,fundamentals_winner_dem,production_winner_dem,winner_call_changed
2018_AZ_96_20181106_D120,2018,AZ,2018_AZ,2018-07-09,120,2.402957486136785,2.791759107726598,4.998097551512396,True,10.0,8.0,10.235311223539751,9.724754807171015,0.18,3.188900027608042,5.5,0.3971409198814437,1,0.7034795345431922,0.7284592779938702,0.024979743450677994,0.024979743450677994,True,True,False
2018_CT_98_20181106_D120,2018,CT,2018_CT,2018-07-09,120,20.408576995776254,20.85309503452728,,False,0.0,,0.0,,0.0,20.85309503452728,5.5,0.0,1,0.9984268250789421,0.9984268250789421,0.0,0.0,True,True,False
2018_DE_99_20181106_D120,2018,DE,2018_DE,2018-07-09,120,22.639007988446096,18.567242887362447,,False,0.0,,0.0,,0.0,18.567242887362447,5.5,0.0,1,0.9968137450538012,0.9968137450538012,0.0,0.0,True,True,False
2018_FL_100_20181106_D120,2018,FL,2018_FL,2018-07-09,120,-0.1225183560779328,5.3323290544490405,-3.3070434573501513,True,24.0,15.0,11.751624133553646,13.478889578154853,0.18,3.7772420023251865,5.5,-1.555087052123854,0,0.8389063847847836,0.7629433620954443,-0.0759630226893393,0.0759630226893393,True,True,False
2018_IN_102_20181106_D120,2018,IN,2018_IN,2018-07-09,120,-6.162903216195062,-13.664619049016142,-4.312313328288844,True,2.0,2.0,6.105581952104115,7.500073678122339,0.099,-12.73874078266414,5.5,0.9258782663520028,0,0.014363767321869936,0.019038663039070834,0.004674895717200898,0.004674895717200898,False,False,False
2018_MA_105_20181106_D120,2018,MA,2018_MA,2018-07-09,120,25.038879177334593,35.872557379258986,26.28404499320074,True,5.0,2.0,1.7616738569410757,32.92251415428753,0.18,34.146625149768504,5.5,-1.725932229490482,1,0.9999849018907363,0.9999742442877517,-1.0657602984576187e-05,1.0657602984576187e-05,True,True,False
2018_MD_104_20181106_D120,2018,MD,2018_MD,2018-07-09,120,36.30566322052462,34.59199101713032,,False,0.0,,0.0,,0.0,34.59199101713032,5.5,0.0,1,0.9999775601305866,0.9999775601305866,0.0,0.0,True,True,False
2018_MI_106_20181106_D120,2018,MI,2018_MI,2018-07-09,120,6.6371383113556135,6.334663566076905,10.83027765291652,True,2.0,2.0,5.991688390995901,7.006597259737758,0.099,6.779729360674027,5.5,0.4450657945971219,1,0.8765643806662002,0.8907103961770064,0.014146015510806187,0.014146015510806187,True,True,False
2018_MN_107_20181106_D120,2018,MN,2018_MN_REGULAR,2018-07-09,120,24.963466608899424,8.233387414360969,20.0,True,1.0,1.0,1.0,14.0,0.054,8.868784493985476,5.5,0.6353970796245072,1,0.9274295593767313,0.9396011649048047,0.012171605528073393,0.012171605528073393,True,True,False
2018_MN_129_20181106_D120,2018,MN,2018_MN_SPECIAL,2018-07-09,120,11.140619798671466,8.233387414360969,9.0,True,1.0,1.0,1.0,14.0,0.054,8.274784493985477,5.5,0.0413970796245077,1,0.9274295593767313,0.9282870508792973,0.0008574915025659768,0.0008574915025659768,True,True,False
2018_MO_109_20181106_D120,2018,MO,2018_MO,2018-07-09,120,-5.996633249741748,-13.067121991132131,0.1445156051049833,True,17.0,10.0,7.789569810572329,8.391305767832957,0.18,-10.68902722380945,5.5,2.378094767322681,0,0.017230724218482922,0.035305658403497406,0.018074934185014484,0.018074934185014484,False,False,False
2018_MS_108_20181106_D120,2018,MS,2018_MS_REGULAR,2018-07-09,120,-19.41285627996939,-11.60969464812012,-16.8,True,1.0,1.0,1.0,89.0,0.054,-11.889971137121632,5.5,-0.2802764890015119,0,0.026787351768142287,0.02461669601033585,-0.002170655757806436,0.002170655757806436,False,False,False
2018_MS_130_20181106_D120,2018,MS,2018_MS_SPECIAL,2018-07-09,120,-7.266512999290427,-11.60969464812012,,False,0.0,,0.0,,0.0,-11.60969464812012,5.5,0.0,0,0.026787351768142287,0.026787351768142287,0.0,0.0,False,False,False
2018_MT_110_20181106_D120,2018,MT,2018_MT,2018-07-09,120,3.6569158437772415,-15.649328634048878,10.655290461729804,True,2.0,2.0,6.479330616441717,7.836342316308284,0.099,-13.045171343566787,5.5,2.6041572904820907,1,0.007823601771822933,0.017346129095080595,0.009522527323257661,0.009522527323257661,False,False,False
2018_ND_116_20181106_D120,2018,ND,2018_ND,2018-07-09,120,-10.905410742496043,-33.0484857930395,-6.920257204037384,True,4.0,4.0,6.77777239647932,8.41510452737291,0.18,-28.34540464701912,5.5,4.703081146020377,0,3.617868848459396e-05,0.0001550489984778443,0.00011887030999325034,0.00011887030999325034,False,False,False
2018_NE_111_20181106_D120,2018,NE,2018_NE,2018-07-09,120,-19.79502813980163,-20.525348226355145,-16.802204444030654,True,2.0,2.0,1.0681003107069604,164.53837630160658,0.099,-20.156756991905024,5.5,0.3685912344501219,0,0.0017408102157981343,0.0019507278770111713,0.00020991766121303702,0.00020991766121303702,False,False,False
2018_NJ_113_20181106_D120,2018,NJ,2018_NJ,2018-07-09,120,11.544410589867937,21.13838028580259,6.0644474280313645,True,3.0,3.0,1.2986607558587815,55.145728274920785,0.135,19.103399350003475,5.5,-2.0349809357991155,1,0.9985595638618731,0.9972995527257222,-0.0012600111361508182,0.0012600111361508182,True,True,False
2018_NM_114_20181106_D120,2018,NM,2018_NM,2018-07-09,120,27.83688334059555,15.871589868648222,,False,0.0,,0.0,,0.0,15.871589868648222,5.5,0.0,1,0.9926926153250194,0.9926926153250194,0.0,0.0,True,True,False
2018_NV_112_20181106_D120,2018,NV,2018_NV,2018-07-09,120,5.247548248472796,9.157418839970395,2.149319352658955,True,7.0,4.0,7.0230509766755835,8.532977912439401,0.18,7.895960932254336,5.5,-1.2614579077160597,1,0.9444754739099469,0.9200804789011257,-0.024394995008821252,0.024394995008821252,True,True,False
2018_NY_115_20181106_D120,2018,NY,2018_NY,2018-07-09,120,33.99933379035469,33.39301299955074,33.24776565095408,True,4.0,2.0,1.5479339989444645,41.35890522415636,0.18,33.36686847680335,5.5,-0.0261445227473942,1,0.9999674798993985,0.9999672157356309,-2.641637676381592e-07,2.641637676381592e-07,True,True,False
2018_OH_117_20181106_D120,2018,OH,2018_OH,2018-07-09,120,6.847342539013482,-1.965369154271805,6.173015879982322,True,9.0,8.0,8.614919647481006,11.144383454871548,0.18,-0.5004598481060623,5.5,1.4649093061657428,1,0.3524716419267043,0.4613598061934004,0.10888816426669606,0.10888816426669606,False,False,False
2018_PA_118_20181106_D120,2018,PA,2018_PA,2018-07-09,120,13.085564092459125,5.818928385019667,12.710314382345295,True,8.0,6.0,8.088610401604802,9.515631933087372,0.18,7.0593778645382805,5.5,1.2404494795186132,1,0.8582333746061073,0.898854087938088,0.040620713331980696,0.040620713331980696,True,True,False
2018_RI_119_20181106_D120,2018,RI,2018_RI,2018-07-09,120,23.159474112658216,23.191408185319624,22.0,True,1.0,1.0,1.0,35.0,0.054,23.12707214331236,5.5,-0.0643360420072625,1,0.9992363878709999,0.9992210446701492,-1.5343200850725935e-05,1.5343200850725935e-05,True,True,False
2018_TN_120_20181106_D120,2018,TN,2018_TN,2018-07-09,120,-10.937204153944108,-20.678686090523975,-16.0247185753393,True,13.0,8.0,6.741375463302683,9.386153750799249,0.18,-19.840971937790737,5.5,0.8377141527332377,0,0.0016602699746756377,0.0021505496512123456,0.0004902796765367079,0.0004902796765367079,False,False,False
