snapshot_id,cycle,state,race_id,days_out,fundamentals_margin_dem,polling_margin_dem,production_bayesian_margin_dem,fundamentals_prob_dem,production_prob_dem,probability_movement,abs_probability_movement,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,actual_margin_dem
2022_AZ_8919_20221108_D060,2022,AZ,2022_AZ,60,-0.7663366417413773,11.789303513298124,3.628137412522448,0.42804167999126486,0.7977421723134526,0.3697004923221877,0.3697004923221877,15.0,13.0,10.469466386464038,8.64329350218345,0.35,4.992147589578039
2022_PA_8945_20221108_D060,2022,PA,2022_PA,60,0.098410518698115,13.25032829616876,4.70158174081284,0.5093041871196053,0.8554797385549496,0.3461755514353443,0.3461755514353443,16.0,15.0,10.493829968959444,15.845377778128992,0.35,5.035095542957677
2022_AZ_8919_20221108_D090,2022,AZ,2022_AZ,90,-0.7663366417413773,12.519037103084182,2.754287400637396,0.4409897055331835,0.701055004672931,0.2600652991397475,0.2600652991397475,7.0,7.0,5.908355403760909,8.368843480858928,0.265,4.992147589578039
2022_PA_8945_20221108_D090,2022,PA,2022_PA,90,0.098410518698115,13.96939819584482,3.774222253141992,0.5076128072357753,0.7627743106642112,0.2551615034284359,0.2551615034284359,9.0,9.0,8.108535501123699,12.646551275285114,0.265,5.035095542957677
2024_AZ_9505_20241105_D060,2024,AZ,2024_AZ,60,0.0436633582586227,7.142589462788182,2.528287494843968,0.5041285192680549,0.7223712702263885,0.21824275095833356,0.21824275095833356,45.0,28.0,12.265293354760813,16.785755162237745,0.35,2.4624583141814895
2018_OH_117_20181106_D060,2018,OH,2018_OH,60,-1.965369154271805,4.792683327527768,0.3999492143580454,0.3222728363082102,0.5377454716450876,0.21547263533687738,0.21547263533687738,11.0,10.0,1.9535683009871456,22.13509565755547,0.35,6.847342539013482
2020_AZ_6268_20201103_D060,2020,AZ,2020_AZ,60,2.341759107726598,11.569424861323226,5.5714421214854175,0.7080031097561924,0.8916051907065295,0.18360208095033714,0.18360208095033714,47.0,25.0,10.40515219970535,17.03998962155481,0.35,2.3495227373552865
2024_WI_9534_20241105_D060,2024,WI,2024_WI,60,0.3681265330679895,5.822740028070406,2.277241256318835,0.5347522846492235,0.7029328683716982,0.16818058372247469,0.16818058372247469,32.0,21.0,15.988536227815706,11.220934747191432,0.35,0.8677410241822372
2024_PA_9527_20241105_D060,2024,PA,2024_PA,60,0.9084105186981152,6.534014772045058,2.8773720073695452,0.5850601384880733,0.7480588334016711,0.16299869491359786,0.16299869491359786,60.0,30.0,17.525346234172357,17.59203755047602,0.35,-0.2228208993178242
2024_NV_9521_20241105_D060,2024,NV,2024_NV,60,2.176234680087614,9.4740010045248,4.730452893640629,0.6948940547098172,0.8568245542913533,0.16193049958153605,0.16193049958153605,25.0,16.0,9.467169198107506,15.909839196867711,0.35,1.7457448421834698
2022_WI_8951_20221108_D060,2022,WI,2022_WI,60,-0.4418734669320106,4.449696020777492,1.2701758537663153,0.4583153888881682,0.6178443867109175,0.15952899782274926,0.15952899782274926,5.0,4.0,3.7109602870413183,21.66030482241623,0.35,-1.0091205339674616
2018_OH_117_20181106_D090,2018,OH,2018_OH,90,-1.965369154271805,5.747525974054314,0.0785480547346166,0.3524716419267043,0.5060764639653186,0.15360482203861425,0.15360482203861425,10.0,9.0,8.67873258839806,38.66369541815295,0.265,6.847342539013482
2022_OH_8942_20221108_D090,2022,OH,2022_OH,90,-9.233395295405431,8.003001916475245,-4.6657500342570515,0.05430436622179496,0.19095178436224036,0.1366474181404454,0.1366474181404454,9.0,6.0,6.353532093534345,15.036534082423222,0.265,-6.114454849606801
2022_OH_8942_20221108_D060,2022,OH,2022_OH,60,-9.233395295405431,4.784454133007224,-4.327147995461003,0.02953282314782536,0.1629250230842667,0.13339219993644136,0.13339219993644136,16.0,10.0,9.037040662437786,12.510624981271604,0.35,-6.114454849606801
2024_PA_9527_20241105_D090,2024,PA,2024_PA,90,0.9084105186981152,7.903868583495985,2.762206905869551,0.5698187666315052,0.7015683671746327,0.13174960054312745,0.13174960054312745,45.0,24.0,15.706859792418824,18.21661198310087,0.265,-0.2228208993178242
2024_WI_9534_20241105_D090,2024,WI,2024_WI,90,0.3681265330679895,6.560545498025807,2.0091175587818113,0.5284488478658376,0.6506120352465085,0.12216318738067089,0.12216318738067089,21.0,14.0,10.389218800076684,14.845717235460636,0.265,0.8677410241822372
2024_OH_9526_20241105_D060,2024,OH,2024_OH,60,-8.423395295405431,3.1795795528955613,-4.362354098500084,0.039699209343057526,0.1611171587604229,0.12141794941736538,0.12141794941736538,19.0,13.0,2.7435743430519453,8.742507666330633,0.35,-3.747668078104226
2018_FL_100_20181106_D060,2018,FL,2018_FL,60,5.3323290544490405,-0.9661197950439796,3.1278719571264837,0.8825502706724767,0.7654922909088905,-0.11705797976358623,0.11705797976358623,33.0,16.0,7.081015129127189,17.01514128059179,0.35,-0.1225183560779328
2020_GA_6271_20201103_D060,2020,GA,2020_GA_REGULAR,60,0.7976548013935725,-2.591221234902246,-0.388451811309964,0.5748557878551248,0.46333565193624876,-0.11152013591887605,0.11152013591887605,17.0,15.0,6.291168628557876,18.412255749743572,0.35,-1.8212843302317765
2022_AZ_8919_20221108_D120,2022,AZ,2022_AZ,120,-0.7663366417413773,9.759265165620468,0.6546196022524718,0.4409897055331835,0.5504712731945607,0.10948156766137718,0.10948156766137718,3.0,3.0,1.2290799718147676,18.36856015856382,0.135,4.992147589578039
2018_OH_117_20181106_D120,2018,OH,2018_OH,120,-1.965369154271805,6.173015879982322,-0.5004598481060623,0.3524716419267043,0.4613598061934004,0.10888816426669606,0.10888816426669606,9.0,8.0,8.614919647481006,11.144383454871548,0.18,6.847342539013482
2024_OH_9526_20241105_D090,2024,OH,2024_OH,90,-8.423395295405431,4.57545469935275,-4.978700046794513,0.06871115247687144,0.17643624692506088,0.10772509444818944,0.10772509444818944,16.0,11.0,1.8563525071677025,21.2549265609475,0.265,-3.747668078104226
