race_id,cycle,state,election_type,special_election,senate_class,class_assignment_method,class_assignment_notes,seat_id
2014_OK_REGULAR,2014,OK,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,OK_CLASS_2
2014_OK_SPECIAL,2014,OK,special,True,3,special_election_override,Special election for the Class 3 seat,OK_CLASS_3
2014_OR,2014,OR,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,OR_CLASS_2
2014_RI,2014,RI,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,RI_CLASS_2
2014_SC_REGULAR,2014,SC,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,SC_CLASS_2
2014_SC_SPECIAL,2014,SC,special,True,3,special_election_override,Special election for the Class 3 seat,SC_CLASS_3
2014_SD,2014,SD,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,SD_CLASS_2
2014_TN,2014,TN,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,TN_CLASS_2
2014_TX,2014,TX,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,TX_CLASS_2
2014_VA,2014,VA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,VA_CLASS_2
2014_WV,2014,WV,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,WV_CLASS_2
2014_WY,2014,WY,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,WY_CLASS_2
2016_AK,2016,AK,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AK_CLASS_3
2016_AL,2016,AL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AL_CLASS_3
2016_AR,2016,AR,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AR_CLASS_3
2016_AZ,2016,AZ,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AZ_CLASS_3
2016_CA,2016,CA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,CA_CLASS_3
2016_CO,2016,CO,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,CO_CLASS_3
2016_CT,2016,CT,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,CT_CLASS_3
2016_FL,2016,FL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,FL_CLASS_3
2016_GA,2016,GA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,GA_CLASS_3
2016_HI,2016,HI,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,HI_CLASS_3
2016_IA,2016,IA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IA_CLASS_3
2016_ID,2016,ID,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,ID_CLASS_3
2016_IL,2016,IL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IL_CLASS_3
2016_IN,2016,IN,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IN_CLASS_3
2016_KS,2016,KS,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,KS_CLASS_3
2016_KY,2016,KY,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,KY_CLASS_3
2016_LA,2016,LA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,LA_CLASS_3
2016_MD,2016,MD,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,MD_CLASS_3
2016_MO,2016,MO,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,MO_CLASS_3
2016_NC,2016,NC,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NC_CLASS_3
2016_ND,2016,ND,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,ND_CLASS_3
2016_NH,2016,NH,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NH_CLASS_3
2016_NV,2016,NV,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NV_CLASS_3
2016_NY,2016,NY,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NY_CLASS_3
2016_OH,2016,OH,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OH_CLASS_3
2016_OK,2016,OK,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OK_CLASS_3
2016_OR,2016,OR,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OR_CLASS_3
2016_PA,2016,PA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,PA_CLASS_3
2016_SC,2016,SC,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,SC_CLASS_3
2016_SD,2016,SD,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,SD_CLASS_3
