year,state,state_po,dem_candidate,gop_candidate,dem_votes,gop_votes,major_party_votes,totalvotes,dem_vote_share,gop_vote_share,dem_two_party_share,gop_two_party_share,presidential_margin_dem,winner_party,source_dataset,source_doi,source_file,source_status,validation_status
2008,MARYLAND,MD,"OBAMA, BARACK H.","MCCAIN, JOHN",1629467,959862,2589329,2631596,61.919344762645935,36.4745196451127,62.93008729288553,37.06991270711447,25.860174585771063,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MAINE,ME,"OBAMA, BARACK H.","MCCAIN, JOHN",421923,295273,717196,731163,57.705737297975965,40.38401833790824,58.8295249834076,41.1704750165924,17.659049966815203,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MICHIGAN,MI,"OBAMA, BARACK H.","MCCAIN, JOHN",2872579,2048639,4921218,5001596,57.43324730745946,40.959705661952704,58.37130157615452,41.62869842384548,16.742603152309044,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MINNESOTA,MN,"OBAMA, BARACK H.","MCCAIN, JOHN",1573354,1275409,2848763,2910369,54.06029269827984,43.822931044139075,55.22937499539274,44.77062500460726,10.458749990785478,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MISSOURI,MO,"OBAMA, BARACK H.","MCCAIN, JOHN",1441911,1445814,2887725,2925205,49.29264786570514,49.42607441187882,49.93242085032335,50.06757914967665,-0.13515829935329293,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MISSISSIPPI,MS,"OBAMA, BARACK H.","MCCAIN, JOHN",554662,724597,1279259,1289865,43.00155442623841,56.17618898101739,43.358069007136166,56.641930992863834,-13.283861985727668,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,MONTANA,MT,"OBAMA, BARACK H.","MCCAIN, JOHN",231667,242763,474430,490109,47.268464770081756,49.5324509445858,48.83059671605927,51.16940328394073,-2.3388065678814627,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NORTH CAROLINA,NC,"OBAMA, BARACK H.","MCCAIN, JOHN",2142651,2128474,4271125,4310851,49.70366639904743,49.37479861864861,50.16596330006731,49.83403669993269,0.33192660013462216,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NORTH DAKOTA,ND,"OBAMA, BARACK H.","MCCAIN, JOHN",141278,168601,309879,316621,44.62054001471791,53.250100277618984,45.59134371803188,54.40865628196812,-8.817312563936241,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NEBRASKA,NE,"OBAMA, BARACK H.","MCCAIN, JOHN",333319,452979,786298,801281,41.5982657769247,56.53185336979162,42.39092557783436,57.60907442216564,-15.218148844331282,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
