seat_id,state,senate_class,previous_race_id,current_race_id,previous_cycle,current_cycle,cycle_gap,previous_margin_dem,current_margin_dem,seat_swing_dem,previous_generic_ballot_margin_dem,current_generic_ballot_margin_dem,national_swing_dem
ID_CLASS_2,ID,2,2014_ID,2020_ID,2014,2020,6,-30.65672392890638,-30.641627543035987,0.015096385870393192,-2.4,6.8,9.2
IL_CLASS_2,IL,2,2014_IL,2020_IL,2014,2020,6,11.27730879697269,17.129742087590202,5.852433290617512,-2.4,6.8,9.2
KS_CLASS_2,KS,2,2014_KS,2020_KS,2014,2020,6,-11.098776187913444,-12.0379348237619,-0.9391586358484556,-2.4,6.8,9.2
KY_CLASS_2,KY,2,2014_KY,2020_KY,2014,2020,6,-15.960574494155525,-20.348541061255716,-4.387966567100191,-2.4,6.8,9.2
LA_CLASS_2,LA,2,2014_LA,2020_LA,2014,2020,6,-4.61783687567376,-51.44061118070289,-46.82277430502913,-2.4,6.8,9.2
MA_CLASS_2,MA,2,2014_MA,2020_MA,2014,2020,6,23.920238014039143,33.37630608212415,9.45606806808501,-2.4,6.8,9.2
ME_CLASS_2,ME,2,2014_ME,2020_ME,2014,2020,6,-36.97684009679358,-9.20707886851065,27.76976122828293,-2.4,6.8,9.2
MI_CLASS_2,MI,2,2014_MI,2020_MI,2014,2020,6,13.847021920547816,1.7172850548123364,-12.12973686573548,-2.4,6.8,9.2
MN_CLASS_2,MN,2,2014_MN,2020_MN,2014,2020,6,10.663790458498127,5.679457423042791,-4.984333035455336,-2.4,6.8,9.2
MS_CLASS_2,MS,2,2014_MS,2020_MS,2014,2020,6,-22.50161833247023,-10.155239628567571,12.346378703902658,-2.4,6.8,9.2
MT_CLASS_2,MT,2,2014_MT,2020_MT,2014,2020,6,-18.106180556131235,-10.024321499512084,8.081859056619152,-2.4,6.8,9.2
NC_CLASS_2,NC,2,2014_NC,2020_NC,2014,2020,6,-1.6283279362778558,-1.826603939251612,-0.19827600297375625,-2.4,6.8,9.2
NE_CLASS_2,NE,2,2014_NE,2020_NE,2014,2020,6,-34.283832564319965,-43.95175515420045,-9.667922589880483,-2.4,6.8,9.2
NH_CLASS_2,NH,2,2014_NH,2020_NH,2014,2020,6,3.255085493010725,16.02932792111268,12.774242428101957,-2.4,6.8,9.2
NJ_CLASS_2,NJ,2,2014_NJ,2020_NJ,2014,2020,6,13.76275567892334,16.615139632373698,2.8523839534503583,-2.4,6.8,9.2
NM_CLASS_2,NM,2,2014_NM,2020_NM,2014,2020,6,11.11762035747401,6.27123541097869,-4.84638494649532,-2.4,6.8,9.2
OK_CLASS_2,OK,2,2014_OK_REGULAR,2020_OK,2014,2020,6,-40.86688126914103,-31.525022113596386,9.341859155544647,-2.4,6.8,9.2
OR_CLASS_2,OR,2,2014_OR,2020_OR,2014,2020,6,20.370419629609927,18.274771796454655,-2.0956478331552724,-2.4,6.8,9.2
