race_id,cycle,election_date,state,state_name,senate_class,seat_id,election_type,special_election,dem_candidate,gop_candidate,dem_votes,gop_votes,other_votes,total_votes,dem_two_party_share,gop_two_party_share,actual_margin_dem,winner_party,presidential_result_year,presidential_dem_candidate,presidential_gop_candidate,presidential_dem_two_party_share,presidential_gop_two_party_share,presidential_margin_dem,presidential_winner_party,senate_overperformance_dem,senate_overperformance_abs,senate_outperformed_presidential_baseline,model_incumbent_name,model_incumbent_party,model_incumbent_running,model_open_seat,incumbency_source,lineage_appointed_incumbent,lineage_candidate_match_method,incumbency_override_applied,incumbency_audit_flag,major_party_contested,backtest_scorable,backtest_exclusion_reason,presidential_baseline_available,historical_baseline_scorable,baseline_method,lookahead_protection,baseline_validation_status,source,source_url,source_status,source_dataset,source_doi,source_file,notes,incumbent_name,incumbent_party,incumbent_running,open_seat,dem_vote_share,gop_vote_share,manual_review,class_assignment_method,class_assignment_notes,incumbency_reference_date,lineage_officeholder_count,lineage_incumbent_name,lineage_incumbent_party,lineage_incumbent_bioguide_id,lineage_incumbent_term_start,lineage_incumbent_term_end,lineage_incumbent_term_how,lineage_officeholder_status,lineage_dem_candidate_match_score,lineage_gop_candidate_match_score,lineage_incumbent_candidate_party,lineage_incumbent_running,lineage_open_seat,incumbency_override_status,incumbency_override_notes,existing_incumbency_name_available,existing_incumbency_party_available,existing_incumbency_running_available,existing_open_seat_available,audit_existing_name_match_score,audit_incumbent_name_agrees,audit_incumbent_party_agrees,audit_incumbent_running_agrees,audit_open_seat_agrees
2012_MI,2012,2012-11-06,MI,Michigan,1,MI_CLASS_1,regular,False,DEBBIE STABENOW,PETE HOEKSTRA,2735826,1767386,149706,4652918,60.752769356628114,39.247230643371886,21.50553871325623,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",58.37130157615452,41.62869842384548,16.742603152309044,D,4.762935560947184,4.762935560947184,True,Debbie Stabenow,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,58.79807037218365,37.98446480251747,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Debbie Stabenow,D,S000770,2007-01-04,2013-01-03,,single_match,1.0,0.2357,D,True,False,,,False,False,False,False,,,,,
2012_MN,2012,2012-11-06,MN,Minnesota,1,MN_CLASS_1,regular,False,AMY KLOBUCHAR,KURT BILLS,1854595,867974,120638,2843207,68.11930202687242,31.880697973127585,36.23860405374484,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",55.22937499539274,44.77062500460726,10.458749990785478,D,25.77985406295936,25.77985406295936,True,Amy Klobuchar,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,65.22898262419866,30.52799180643548,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Amy Klobuchar,D,K000367,2007-01-04,2013-01-03,,single_match,1.0,0.0957,D,True,False,,,False,False,False,False,,,,,
2012_MO,2012,2012-11-06,MO,Missouri,1,MO_CLASS_1,regular,False,CLAIRE MCCASKILL,W. TODD AKIN,1494125,1066159,165509,2725793,58.357783745865696,41.642216254134304,16.71556749173139,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",49.93242085032335,50.06757914967665,-0.1351582993532929,R,16.850725791084685,16.850725791084685,True,Claire McCaskill,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,54.81432375826044,39.113718466515984,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Claire McCaskill,D,M001170,2007-01-04,2013-01-03,,single_match,1.0,0.1222,D,True,False,,,False,False,False,False,,,,,
2012_MS,2012,2012-11-06,MS,Mississippi,1,MS_CLASS_1,regular,False,"ALBERT N. GORE, JR.",ROGER F. WICKER,503467,709626,28475,1241568,41.50275370478603,58.49724629521397,-16.99449259042794,R,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",43.358069007136166,56.641930992863834,-13.283861985727668,R,-3.7106306047002704,3.7106306047002704,False,Roger F. Wicker,R,True,False,audited_senate_seat_lineage,True,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,40.55090015206577,57.15562901105699,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Roger F. Wicker,R,W000437,2007-12-31,2013-01-03,appointment,single_match,0.2037,1.0,R,True,False,,,False,False,False,False,,,,,
2012_MT,2012,2012-11-06,MT,Montana,1,MT_CLASS_1,regular,False,JON TESTER,DENNY REHBERG,236123,218051,31892,486066,51.98954585687424,48.01045414312576,3.979091713748474,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",48.83059671605927,51.16940328394073,-2.3388065678814627,R,6.317898281629937,6.317898281629937,True,Jon Tester,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,48.578382359597256,44.86036875650632,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Jon Tester,D,T000464,2007-01-04,2013-01-03,,single_match,1.0,0.2391,D,True,False,,,False,False,False,False,,,,,
2012_ND,2012,2012-11-06,ND,North Dakota,1,ND_CLASS_1,regular,False,HEIDI HEITKAMP,RICK BERG,161337,158401,1406,321144,50.45912590933827,49.54087409066173,0.9182518186765378,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",45.59134371803188,54.40865628196812,-8.817312563936241,R,9.735564382612779,9.735564382612779,True,Kent Conrad,D,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,50.23821089604663,49.32397927409511,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Kent Conrad,D,C000705,2007-01-04,2013-01-03,,single_match,0.088,0.165,,False,True,,,False,False,False,False,,,,,
2012_NE,2012,2012-11-06,NE,Nebraska,1,NE_CLASS_1,regular,False,BOB KERREY,DEB FISCHER,332979,455593,0,788572,42.22556722784984,57.77443277215016,-15.548865544300329,R,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",42.39092557783436,57.60907442216564,-15.218148844331282,R,-0.33071669996904696,0.33071669996904696,False,Ben Nelson,D,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,42.22556722784984,57.77443277215016,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Ben Nelson,D,N000180,2007-01-04,2013-01-03,,single_match,0.165,0.1048,,False,True,,,False,False,False,False,,,,,
2012_NJ,2012,2012-11-06,NJ,New Jersey,1,NJ_CLASS_1,regular,False,ROBERT MENENDEZ,JOE KYRILLOS,1987680,1329534,59435,3376649,59.92016191900794,40.07983808099206,19.840323838015877,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",57.86462987142395,42.13537012857605,15.7292597428479,D,4.111064095167977,4.111064095167977,True,Robert Menendez,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,58.86546099402099,39.37436197839929,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Robert Menendez,D,M000639,2007-01-04,2013-01-03,,single_match,1.0,0.0815,D,True,False,,,False,False,False,False,,,,,
2012_NM,2012,2012-11-06,NM,New Mexico,1,NM_CLASS_1,regular,False,MARTIN HEINRICH,HEATHER A. WILSON,395717,351260,28816,775793,52.97579443543777,47.02420556456223,5.95158887087554,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",57.66490001879759,42.33509998120241,15.329800037595176,D,-9.378211166719636,9.378211166719636,False,Jeff Bingaman,D,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,51.00806529576833,45.27754181850055,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Jeff Bingaman,D,B000468,2007-01-04,2013-01-03,,single_match,0.1179,0.1517,,False,True,,,False,False,False,False,,,,,
2012_NV,2012,2012-11-06,NV,Nevada,1,NV_CLASS_1,regular,False,SHELLEY BERKLEY,DEAN HELLER,446080,457656,94069,997805,49.35954747846717,50.64045252153283,-1.2809050430656723,R,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",56.3867381251961,43.6132618748039,12.773476250392209,D,-14.054381293457881,14.054381293457881,False,Dean Heller,R,True,False,audited_senate_seat_lineage,True,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,44.706129955251775,45.86627647686672,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Dean Heller,R,H001041,2011-05-09,2013-01-03,appointment,single_match,0.2538,1.0,R,True,False,,,False,False,False,False,,,,,
