race_id,cycle,election_date,state,state_name,senate_class,seat_id,election_type,special_election,actual_margin_dem,winner_party,presidential_result_year,presidential_margin_dem,senate_overperformance_dem,model_incumbent_name,model_incumbent_party,model_incumbent_running,model_open_seat,incumbent_party_dem,incumbent_running_indicator,open_seat_indicator,major_party_contested,backtest_scorable,backtest_exclusion_reason,presidential_baseline_available,historical_baseline_scorable,baseline_method,lookahead_protection,baseline_validation_status,president,president_party,president_party_dem,midterm_indicator,generic_ballot_dem,generic_ballot_gop,generic_ballot_margin_dem,generic_ballot_components_available,presidential_approval,presidential_disapproval,approval_net,presidential_approval_centered,approval_net_dem_oriented,approval_centered_dem_oriented,approval_poll_start,approval_poll_end,approval_observation_pre_election,generic_ballot_source,approval_source,national_environment_source_status,national_environment_notes,national_environment_scorable,national_environment_validation_status,national_environment_matched,historical_fundamentals_scorable,fundamentals_exclusion_reason,production_formula,production_formula_label,production_baseline_margin_dem,production_national_environment_margin_dem,production_predicted_margin_dem,production_prediction_error_dem,model_incumbent_name_baseline,model_incumbent_party_baseline,model_incumbent_running_baseline,model_open_seat_baseline,lineage_appointed_incumbent,incumbency_source,incumbency_override_applied,incumbency_audit_flag,senate_overperformance_dem_baseline,senate_overperformance_abs,forecast_error_dem,absolute_error,squared_error,actual_winner_party,predicted_winner_party,winner_correct,incumbency_category
2012_MN,2012,2012-11-06,MN,Minnesota,1,MN_CLASS_1,regular,False,36.23860405374484,D,2008,10.458749990785478,25.77985406295936,Amy Klobuchar,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,10.458749990785478,-0.18000000000000002,10.278749990785478,-25.95985406295936,Amy Klobuchar,D,True,False,False,audited_senate_seat_lineage,False,False,25.77985406295936,25.77985406295936,25.95985406295936,25.95985406295936,673.9140229701475,D,D,True,elected_incumbent_running
2012_MO,2012,2012-11-06,MO,Missouri,1,MO_CLASS_1,regular,False,16.71556749173139,D,2008,-0.1351582993532929,16.850725791084685,Claire McCaskill,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-0.1351582993532929,-0.18000000000000002,-0.3151582993532929,-17.030725791084684,Claire McCaskill,D,True,False,False,audited_senate_seat_lineage,False,False,16.850725791084685,16.850725791084685,17.030725791084684,17.030725791084684,290.04562097111705,D,R,False,elected_incumbent_running
2012_MS,2012,2012-11-06,MS,Mississippi,1,MS_CLASS_1,regular,False,-16.99449259042794,R,2008,-13.283861985727668,-3.7106306047002704,Roger F. Wicker,R,True,False,-1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-13.283861985727668,-0.18000000000000002,-13.463861985727668,3.5306306047002707,Roger F. Wicker,R,True,False,True,audited_senate_seat_lineage,False,False,-3.7106306047002704,3.7106306047002704,-3.5306306047002707,3.5306306047002707,12.465352466846198,R,R,True,appointed_incumbent_running
2012_MT,2012,2012-11-06,MT,Montana,1,MT_CLASS_1,regular,False,3.979091713748474,D,2008,-2.3388065678814627,6.317898281629937,Jon Tester,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-2.3388065678814627,-0.18000000000000002,-2.518806567881463,-6.497898281629936,Jon Tester,D,True,False,False,audited_senate_seat_lineage,False,False,6.317898281629937,6.317898281629937,6.497898281629936,6.497898281629936,42.22268207840928,D,R,False,elected_incumbent_running
2012_ND,2012,2012-11-06,ND,North Dakota,1,ND_CLASS_1,regular,False,0.9182518186765378,D,2008,-8.817312563936241,9.73556438261278,Kent Conrad,D,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-8.817312563936241,-0.18000000000000002,-8.99731256393624,-9.915564382612779,Kent Conrad,D,False,True,False,audited_senate_seat_lineage,False,False,9.73556438261278,9.73556438261278,9.915564382612779,9.915564382612779,98.31841702573914,D,R,False,open_seat
2012_NE,2012,2012-11-06,NE,Nebraska,1,NE_CLASS_1,regular,False,-15.548865544300329,R,2008,-15.218148844331282,-0.3307166999690469,Ben Nelson,D,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-15.218148844331282,-0.18000000000000002,-15.398148844331281,0.15071669996904724,Ben Nelson,D,False,True,False,audited_senate_seat_lineage,False,False,-0.3307166999690469,0.3307166999690469,-0.15071669996904724,0.15071669996904724,0.022715523649559803,R,R,True,open_seat
2012_NJ,2012,2012-11-06,NJ,New Jersey,1,NJ_CLASS_1,regular,False,19.840323838015877,D,2008,15.7292597428479,4.111064095167977,Robert Menendez,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,15.7292597428479,-0.18000000000000002,15.5492597428479,-4.291064095167977,Robert Menendez,D,True,False,False,audited_senate_seat_lineage,False,False,4.111064095167977,4.111064095167977,4.291064095167977,4.291064095167977,18.41323106883977,D,D,True,elected_incumbent_running
2012_NM,2012,2012-11-06,NM,New Mexico,1,NM_CLASS_1,regular,False,5.95158887087554,D,2008,15.329800037595176,-9.378211166719636,Jeff Bingaman,D,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,15.329800037595176,-0.18000000000000002,15.149800037595176,9.198211166719636,Jeff Bingaman,D,False,True,False,audited_senate_seat_lineage,False,False,-9.378211166719636,9.378211166719636,-9.198211166719636,9.198211166719636,84.6070886675658,D,D,True,open_seat
2012_NV,2012,2012-11-06,NV,Nevada,1,NV_CLASS_1,regular,False,-1.2809050430656723,R,2008,12.773476250392209,-14.05438129345788,Dean Heller,R,True,False,-1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,12.773476250392209,-0.18000000000000002,12.593476250392209,13.874381293457882,Dean Heller,R,True,False,True,audited_senate_seat_lineage,False,False,-14.05438129345788,14.05438129345788,-13.874381293457882,13.874381293457882,192.498456276254,R,D,False,appointed_incumbent_running
2012_NY,2012,2012-11-06,NY,New York,1,NY_CLASS_1,regular,False,46.51511255351639,D,2008,31.52771475956852,14.987397793947869,Kirsten E. Gillibrand,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,31.52771475956852,-0.18000000000000002,31.34771475956852,-15.167397793947867,Kirsten E. Gillibrand,D,True,False,True,audited_senate_seat_lineage,False,False,14.987397793947869,14.987397793947869,15.167397793947867,15.167397793947867,230.04995583985462,D,D,True,appointed_incumbent_running
