model_name,cycle,observations,mae,rmse,mean_error,median_absolute_error,winner_accuracy,dem_win_accuracy,gop_win_accuracy,predicted_dem_win_rate,actual_dem_win_rate
Baseline polling: 14-day recency + sqrt sample size,2018,197,4.0627666664964845,5.305091911765254,0.3099664943186927,2.9928236957709764,0.9187817258883249,0.9699248120300752,0.8125,0.7157360406091371,0.6751269035532995
Baseline polling: 14-day recency + sqrt sample size,2020,164,6.859687111997811,8.393532793994723,6.044837339449939,6.3848603676263025,0.8963414634146342,1.0,0.8247422680412371,0.5121951219512195,0.40853658536585363
Baseline polling: 14-day recency + sqrt sample size,2022,168,6.751287874315691,8.932390169639744,3.5280407335461956,5.473198468219019,0.9404761904761905,0.975,0.9090909090909091,0.5119047619047619,0.47619047619047616
Baseline polling: 14-day recency + sqrt sample size,2024,190,5.510402060290709,6.528911296684381,4.150240748821455,4.868193963321362,0.9368421052631579,1.0,0.8604651162790697,0.6105263157894737,0.5473684210526316
