model_name,days_before_election,observations,mae,rmse,mean_error,median_absolute_error,winner_accuracy,dem_win_accuracy,gop_win_accuracy,predicted_dem_win_rate,actual_dem_win_rate
Baseline polling: 14-day recency + sqrt sample size,0,120,5.484154907076997,7.045189069709621,3.3488203084493686,4.28492424863536,0.9333333333333333,0.9682539682539683,0.8947368421052632,0.5583333333333333,0.525
Baseline polling: 14-day recency + sqrt sample size,7,116,5.428569344048966,7.034125773100087,3.400852045191391,4.355030687582454,0.9396551724137931,0.9838709677419355,0.8888888888888888,0.5775862068965517,0.5344827586206896
Baseline polling: 14-day recency + sqrt sample size,14,111,5.796474177222794,7.669793918873466,3.38470168709018,4.8152934687463,0.9369369369369369,0.9836065573770492,0.88,0.5945945945945946,0.5495495495495496
Baseline polling: 14-day recency + sqrt sample size,30,108,6.138200813687238,8.0797646239024,3.989704999749626,4.92709631001924,0.9166666666666666,0.9830508474576272,0.8367346938775511,0.6111111111111112,0.5462962962962963
Baseline polling: 14-day recency + sqrt sample size,60,97,6.31497723866218,8.06504613610716,3.1483383973306154,5.359331213770162,0.9175257731958762,0.98,0.851063829787234,0.5773195876288659,0.5154639175257731
Baseline polling: 14-day recency + sqrt sample size,90,87,5.91128134336604,7.033435097124346,3.404733714321382,5.1902394632821265,0.9080459770114943,1.0,0.8,0.632183908045977,0.5402298850574713
Baseline polling: 14-day recency + sqrt sample size,120,80,4.819565633447139,5.823125586695107,2.8640668672410574,4.504323450131579,0.9,1.0,0.7894736842105263,0.625,0.525
