model_name,poll_count_bucket,observations,mae,rmse,mean_error,median_absolute_error,winner_accuracy,dem_win_accuracy,gop_win_accuracy,predicted_dem_win_rate,actual_dem_win_rate
Baseline polling: 14-day recency + sqrt sample size,1 poll,100,7.924382106860923,10.126196042871825,4.087613756483039,7.619806488332387,1.0,1.0,1.0,0.51,0.51
Baseline polling: 14-day recency + sqrt sample size,2 polls,67,7.017077065823182,9.11060233726403,4.490138700999625,5.764823869584557,0.9701492537313433,1.0,0.9411764705882353,0.5223880597014925,0.4925373134328358
Baseline polling: 14-day recency + sqrt sample size,3-4 polls,81,6.233294026072658,7.708790281999519,3.266295135782488,4.85256507700249,0.9629629629629629,1.0,0.918918918918919,0.5802469135802469,0.5432098765432098
Baseline polling: 14-day recency + sqrt sample size,5-7 polls,99,5.879916082793371,7.510698158413312,3.656169864565255,4.868193963321362,0.9696969696969697,1.0,0.9387755102040817,0.5353535353535354,0.5050505050505051
Baseline polling: 14-day recency + sqrt sample size,8-12 polls,110,4.916080994693307,6.31058342391714,2.1081238935889903,3.7816798939412495,0.9636363636363636,1.0,0.9024390243902439,0.6636363636363637,0.6272727272727273
Baseline polling: 14-day recency + sqrt sample size,13+ polls,262,4.641933901476264,5.528517682153422,3.304001103290077,4.456929760485229,0.8358778625954199,0.9562043795620438,0.704,0.6412213740458015,0.5229007633587787
