snapshot_id,race_key,question_id,poll_id,race_id,cycle,state,stage,start_date,end_date,election_date,candidate_rows,unique_candidates,democratic_rows,republican_rows,major_party_rows,dem_candidate_id,rep_candidate_id,dem_candidate_name,rep_candidate_name,dem_pct,rep_pct,major_party_pct_sum,dem_margin,question_pct_sum,has_one_democrat,has_one_republican,has_both_major_parties,has_valid_major_party_pct,is_general_stage,is_hypothetical,is_ranked_choice,is_internal,is_partisan,is_tracking,metadata_consistent,pollster,pollster_id,pollster_rating_id,display_name,pollster_name,sponsors,poll_url,poll_source,population,population_full,sample_size,methodology,numeric_grade,pollscore,transparency_score,notes,excluded_after_snapshot,excluded_after_election,excluded_non_general_stage,excluded_hypothetical,excluded_ranked_choice,excluded_missing_major_party_matchup,excluded_multiple_democrats,excluded_multiple_republicans,excluded_invalid_major_party_pct,excluded_inconsistent_metadata,is_eligible,exclusion_reasons,snapshot_date,days_old,days_before_election_at_snapshot,days_before_election,snapshot_election_date
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86383,53757,96,2018,AZ,general,2018-06-11,2018-07-02,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,51.0,46.0,97.0,5.0,97.0,True,True,True,True,True,False,False,False,False,False,True,SurveyMonkey,1193,324,SurveyMonkey,,Axios,https://drive.google.com/file/d/1aerd3_1pJ276A7rLNRQ_Y3ifiUtSraan/view,538,lv,lv,1111,Online Opt-In Panel,2.0,0.2,,absolutely certain lv model,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,37,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86384,53757,96,2018,AZ,general,2018-06-11,2018-07-02,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,51.0,45.0,96.0,6.0,96.0,True,True,True,True,True,False,False,False,False,False,True,SurveyMonkey,1193,324,SurveyMonkey,,Axios,https://drive.google.com/file/d/1aerd3_1pJ276A7rLNRQ_Y3ifiUtSraan/view,538,lv,lv,1140,Online Opt-In Panel,2.0,0.2,,more/same enthusiasm lv model,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,37,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86385,53757,96,2018,AZ,general,2018-06-11,2018-07-02,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,49.0,47.0,96.0,2.0,96.0,True,True,True,True,True,False,False,False,False,False,True,SurveyMonkey,1193,324,SurveyMonkey,,Axios,https://drive.google.com/file/d/1aerd3_1pJ276A7rLNRQ_Y3ifiUtSraan/view,538,lv,lv,1290,Online Opt-In Panel,2.0,0.2,,2014 model lv model,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,37,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86386,53757,96,2018,AZ,general,2018-06-11,2018-07-02,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,47.0,46.0,93.0,1.0,93.0,True,True,True,True,True,False,False,False,False,False,True,SurveyMonkey,1193,324,SurveyMonkey,,Axios,https://drive.google.com/file/d/1aerd3_1pJ276A7rLNRQ_Y3ifiUtSraan/view,538,lv,lv,1290,Online Opt-In Panel,2.0,0.2,,2016 model lv model,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,37,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86180,53705,96,2018,AZ,general,2018-06-21,2018-06-22,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,40.0,31.8,71.8,8.2,71.8,True,True,True,True,True,False,False,False,False,False,True,Emerson,1102,88,Emerson College,,,https://www.emerson.edu/sites/default/files/Files/Academics/ecp-az-6.24.pdf,538,rv,rv,650,IVR/Online Opt-In Panel,2.9,-1.1,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,47,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86185,53706,96,2018,AZ,general,2018-06-19,2018-06-22,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,41.0,34.0,75.0,7.0,75.0,True,True,True,True,True,False,False,False,False,False,True,YouGov,568,391,YouGov,,CBS News,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mq7qziahgv/cbs_20180624_AZ.pdf,538,rv,rv,1001,Online Matched Sample,3.0,-1.1,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,47,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,137823,53706,96,2018,AZ,general,2018-06-19,2018-06-22,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,45.0,37.0,82.0,8.0,82.0,True,True,True,True,True,False,False,False,False,False,True,YouGov,568,391,YouGov,,CBS News,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mq7qziahgv/cbs_20180624_AZ.pdf,538,lv,lv,869,Online Matched Sample,3.0,-1.1,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,47,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86187,53707,96,2018,AZ,general,2018-06-17,2018-06-21,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,49.0,38.0,87.0,11.0,87.0,True,True,True,True,True,False,False,False,False,False,True,Marist College,1205,183,Marist College,,NBC News,http://media1.s-nbcnews.com/i/today/z_creative/Toss%20Up%20Questions_NBC%20News_Marist%20Poll_Arizona%20Annotated%20Questionnaire_June%202018.pdf,538,rv,rv,839,Live Phone,2.9,-0.9,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,48,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86300,53758,96,2018,AZ,general,2018-04-02,2018-04-23,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,51.0,42.0,93.0,9.0,93.0,True,True,True,True,True,False,False,False,False,False,True,SurveyMonkey,1193,324,SurveyMonkey,,Axios,https://drive.google.com/file/d/1-wXoFthHd-fsFnJb5ZsmoZtS-Q9Xn7MV/view,538,rv,rv,1667,Online Opt-In Panel,2.0,0.2,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,107,90,90,2018-11-06
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,86189,53708,96,2018,AZ,general,2018-04-10,2018-04-11,2018-11-06,2,2,1,1,2,12409,12410,Kyrsten Sinema,Martha McSally,48.0,42.0,90.0,6.0,90.0,True,True,True,True,True,False,False,False,False,False,True,OH Predictive Insights / MBQF,1293,235,OH Predictive Insights,,KNXV-TV,http://createsend.com/t/i-E1269679105F7FA92540EF23F30FEDED,538,lv,lv,600,,2.4,-0.4,,,False,False,False,False,False,False,False,False,False,False,True,,2018-08-08,119,90,90,2018-11-06
