probability_bucket,races,mean_predicted_dem_probability,observed_dem_win_rate,mean_adjusted_predicted_margin_dem,mean_actual_margin_dem,mean_brier_contribution,mean_binary_log_loss_contribution,mean_margin_nll_contribution,calibration_error,absolute_calibration_error
"(-0.001, 0.1]",79,0.027194225061843096,0.0379746835443038,-24.91367201287267,-26.796887176235924,0.03682681475256473,0.2408675759905613,4.237772072340667,0.010780458482460703,0.010780458482460703
"(0.1, 0.2]",14,0.1512825619637461,0.07142857142857142,-11.012856109187165,-16.23984768559822,0.0734429342247521,0.28705676897710575,3.980643165427586,-0.07985399053517467,0.07985399053517467
"(0.2, 0.3]",6,0.23038462236443613,0.0,-7.913790440048717,-8.977159081908276,0.05376915530640658,0.26245749554761544,3.408436102962616,-0.23038462236443613,0.23038462236443613
"(0.3, 0.4]",8,0.35522198477007655,0.25,-3.8941470111609506,-4.133402615522373,0.19902320410956906,0.5883554080162504,3.4899190301106233,-0.10522198477007655,0.10522198477007655
"(0.4, 0.5]",10,0.4576875554764526,0.7,-1.1575122743382464,2.034578720133345,0.2598384995851249,0.7127840330268292,3.5627118509919335,0.24231244452354733,0.24231244452354733
"(0.5, 0.6]",9,0.5532799308792957,0.6666666666666666,1.4117766883191603,1.0527279277792982,0.2304295135763492,0.6537623651111089,3.4236139499297207,0.11338673578737091,0.11338673578737091
"(0.6, 0.7]",13,0.6591442645623157,0.6153846153846154,4.165696476103799,1.7758823054104373,0.2316250330090302,0.6546972841731253,3.6376060875711165,-0.043759649177700255,0.043759649177700255
"(0.7, 0.8]",16,0.7578338274793697,0.8125,7.268513539557503,5.7998429139896155,0.15550535921117542,0.4910464259445596,3.840823045612742,0.05466617252063033,0.05466617252063033
"(0.8, 0.9]",12,0.8483286808150804,0.8333333333333334,10.83375895162034,11.277034149614911,0.13907990687686503,0.4509997446265063,3.8432287188738425,-0.014995347481747023,0.014995347481747023
"(0.9, 1.0]",67,0.9734155473531327,0.9850746268656716,24.669991226143008,23.90740295447792,0.01403063263690099,0.06357091876041135,3.7805349457433426,0.011659079512538861,0.011659079512538861
