holdout_cycle,training_cycles,training_rows,holdout_rows,selected_bias_correction_dem,selected_global_sd,training_weighted_selection_score,training_brier,training_binary_log_loss,training_margin_nll,training_expected_calibration_error,training_mean_absolute_coverage_error,holdout_adjusted_residual_mean,holdout_adjusted_residual_sd,holdout_margin_mae,holdout_margin_rmse,holdout_brier,holdout_binary_log_loss,holdout_margin_negative_log_likelihood,holdout_expected_calibration_error,holdout_root_mean_squared_calibration_error,holdout_maximum_calibration_error,holdout_coverage_50,holdout_coverage_error_50,holdout_absolute_coverage_error_50,holdout_coverage_80,holdout_coverage_error_80,holdout_absolute_coverage_error_80,holdout_coverage_95,holdout_coverage_error_95,holdout_absolute_coverage_error_95,holdout_mean_absolute_coverage_error,holdout_maximum_absolute_coverage_error
2012,"2014,2016,2018,2020,2022,2024",202,32,-1.25,10.0,136.83333333333334,0.06846131040273672,0.2584277850002704,3.8152933010279595,0.0433739549949719,0.06320132013201314,2.6701586774533532,13.48544276802854,10.534604347610596,13.538976237321169,0.12238942167205916,0.37205357437645714,4.138043013972455,0.16095780189768166,0.23918738821394592,0.6468688515245722,0.40625,-0.09375,0.09375,0.71875,-0.08125000000000004,0.08125000000000004,0.90625,-0.043749999999999956,0.043749999999999956,0.07291666666666667,0.09375
2014,"2012,2016,2018,2020,2022,2024",199,35,0.75,10.25,160.16666666666666,0.07653715203134835,0.2762333179369259,3.8718638190566903,0.031913907214185064,0.05251256281407032,-2.1887252491262563,11.870085745771432,8.06547568522966,11.902259027323396,0.06843269467300857,0.22872250016072274,3.920404317092486,0.10209525456598331,0.13687670876758098,0.40271826974210023,0.5714285714285714,0.0714285714285714,0.0714285714285714,0.8285714285714286,0.02857142857142858,0.02857142857142858,0.9714285714285714,0.021428571428571463,0.021428571428571463,0.04047619047619048,0.0714285714285714
2016,"2012,2014,2018,2020,2022,2024",201,33,0.5,10.25,135.0,0.07207260708629494,0.26697724096948283,3.7804365174470425,0.046440256904075376,0.06077943615257042,-7.423650110851862,14.227530911601027,11.254757802353582,15.855573075137263,0.09437717734786662,0.2820904707649006,4.4426431158433095,0.14410461661491386,0.2153875399682984,0.5744662372813361,0.42424242424242425,-0.07575757575757575,0.07575757575757575,0.7878787878787878,-0.0121212121212122,0.0121212121212122,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.06313131313131314,0.10151515151515145
2018,"2012,2014,2016,2020,2022,2024",201,33,-1.5,9.5,149.5,0.07044810773182082,0.22365142617074582,3.8670419172998702,0.041601296809393076,0.040878938640132624,5.358091864565282,10.605674739204701,8.391729045969988,11.73801474067076,0.10868557212447058,0.6035575488876905,3.9335599165879214,0.11168902040474381,0.144233805976279,0.4459206633898838,0.5151515151515151,0.015151515151515138,0.015151515151515138,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.02474747474747474,0.040909090909090895
2020,"2012,2014,2016,2018,2022,2024",201,33,0.75,11.0,144.5,0.0776349778366644,0.27671837858503784,3.892541703467885,0.03818508336596844,0.04917081260364838,-3.9360150278252224,9.022161414667622,6.198648264860595,9.717250769121783,0.06631207153051215,0.22302374809805894,3.7070196014989025,0.10923051014326081,0.15657824363239878,0.3958444375953942,0.7878787878787878,0.28787878787878785,0.28787878787878785,0.9090909090909091,0.10909090909090902,0.10909090909090902,0.9393939393939394,-0.010606060606060508,0.010606060606060508,0.1358585858585858,0.28787878787878785
2022,"2012,2014,2016,2018,2020,2024",200,34,-0.75,11.25,141.33333333333334,0.08050851137996375,0.28711030296720397,3.8760226442647525,0.04015917390901111,0.06166666666666665,-1.3556509642186052,9.147254237349426,6.252582939102486,9.11312793685746,0.053220164482275276,0.17959002247448422,3.6674018748665866,0.0899383773925295,0.13904960073316588,0.47815829474310534,0.7647058823529411,0.2647058823529411,0.2647058823529411,0.9117647058823529,0.11176470588235288,0.11176470588235288,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.13235294117647056,0.2647058823529411
2024,"2012,2014,2016,2018,2020,2022",200,34,-0.75,11.25,140.66666666666666,0.08144427643949607,0.2887583660935104,3.8974324300028167,0.042732096251625135,0.06333333333333328,-1.9586098454510597,6.9834649689253325,5.166160184742472,7.153360016742783,0.047715664132085056,0.1698955334962109,3.541461958760324,0.10557607217050778,0.17185742472302673,0.5192852775901121,0.7058823529411765,0.20588235294117652,0.20588235294117652,0.9705882352941176,0.1705882352941176,0.1705882352941176,1.0,0.050000000000000044,0.050000000000000044,0.14215686274509806,0.20588235294117652
