probability_bucket,races,mean_predicted_dem_probability,observed_dem_win_rate,mean_adjusted_predicted_margin_dem,mean_actual_margin_dem,mean_brier_contribution,mean_binary_log_loss_contribution,mean_margin_nll_contribution,calibration_error,absolute_calibration_error
"(-0.001, 0.1]",74,0.025386472527511982,0.02702702702702703,-25.275984980160267,-28.96740991998455,0.026500322562920512,0.1775373481674908,4.2148486949534645,0.0016405544995150463,0.0016405544995150463
"(0.1, 0.2]",17,0.14015081539273633,0.058823529411764705,-11.448945412384258,-11.674691467382635,0.06735643244533754,0.27898949116133204,3.868633725493323,-0.08132728598097162,0.08132728598097162
"(0.2, 0.3]",8,0.22393764507403172,0.125,-8.004732080432648,-7.0146024985126445,0.12545343457456104,0.42572571237462525,3.4227974638160643,-0.09893764507403172,0.09893764507403172
"(0.3, 0.4]",5,0.3629435256419512,0.0,-3.6841270601521794,-9.581192504630957,0.1319450055485736,0.4511655512620859,3.5482148514986727,-0.3629435256419512,0.3629435256419512
"(0.4, 0.5]",9,0.4520404669868876,0.5555555555555556,-1.2701967591877863,2.3009542215993832,0.2488440382038104,0.6907183368066477,3.4971022642428427,0.10351508856866798,0.10351508856866798
"(0.5, 0.6]",12,0.554999961985556,0.6666666666666666,1.4563472614665347,0.6978006334030032,0.2394774167371543,0.6719485565156339,3.337038627291373,0.11166670468111062,0.11166670468111062
"(0.6, 0.7]",8,0.6333290590735347,0.625,3.583272170309117,-0.879911374091531,0.240982971755554,0.6754614032444228,3.8225547330934777,-0.00832905907353465,0.00832905907353465
"(0.7, 0.8]",21,0.7450637157258332,0.8095238095238095,6.946268584423744,6.448484379347974,0.15470988366195956,0.4885355455478953,3.6886017133884508,0.06446009379797635,0.06446009379797635
"(0.8, 0.9]",13,0.8581820631941492,0.8461538461538461,11.340189909711912,12.196439333422044,0.1297810840729969,0.42978130598974196,3.7969251877234624,-0.012028217040303102,0.012028217040303102
"(0.9, 1.0]",67,0.9764229993341229,0.9850746268656716,25.440125884921247,23.606696366964172,0.013358317006132712,0.05800652105684282,3.767852106878823,0.008651627531548689,0.008651627531548689
