model_name,holdout_cycle,training_rows,test_rows,training_residual_sd,mae,rmse,brier,directional_accuracy,r_squared
approval_and_disapproval_separate,2012,202,32,10.6213785910272,12.552778029408291,15.517920859534332,0.17204079839585001,0.71875,0.5638883918444255
approval_and_disapproval_separate,2014,199,35,11.123847131546007,8.068383142725034,11.805933692859,0.06684518208739593,0.8857142857142857,0.7465616509050716
approval_and_disapproval_separate,2016,201,33,10.352589816533316,11.896680259697028,16.51756036443144,0.10332600236558354,0.8181818181818182,0.6601651945188138
approval_and_disapproval_separate,2018,201,33,11.247381271098996,8.250562645489598,12.015438447034347,0.1087500896707259,0.8787878787878788,0.6215286124187291
approval_and_disapproval_separate,2020,201,33,11.563629241527074,5.5627066984647975,8.973906725221816,0.06040210711742889,0.9393939393939394,0.839315271617299
approval_and_disapproval_separate,2022,200,34,11.564746677443956,6.532726676319872,9.060874701912368,0.061035290938158224,0.8823529411764706,0.868708947731267
approval_and_disapproval_separate,2024,200,34,11.773980858343307,5.651873883258142,7.648143630336413,0.046437733486229454,0.9411764705882353,0.8711654073544185
approval_net_only,2012,202,32,11.387651902009942,10.122284053770501,13.303451118474289,0.097004911931006,0.875,0.6794769861619026
approval_net_only,2014,199,35,11.663942228246395,7.975012237578879,11.714149224607718,0.06757324812546563,0.9142857142857143,0.7504870127445701
approval_net_only,2016,201,33,10.466963357791608,13.441323847090832,18.121773567856852,0.13074876534451385,0.8181818181818182,0.5909490076189817
approval_net_only,2018,201,33,11.340880015258822,11.784147769229719,15.216803177514533,0.14573078124293437,0.7878787878787878,0.3929832809581022
approval_net_only,2020,201,33,12.059113179973568,6.245797188568961,9.022248666509473,0.06209326154822412,0.9393939393939394,0.8375794091148887
approval_net_only,2022,200,34,12.06243253439603,6.548174186118278,9.12222804047656,0.06150653902999747,0.8823529411764706,0.866924922171745
approval_net_only,2024,200,34,12.286930542662844,5.6243555465218895,7.279883805824759,0.0663454526819424,0.8823529411764706,0.8832735404031462
baseline_only,2012,202,32,11.851115781192872,10.367383313574567,13.421728142213254,0.11312307292675634,0.84375,0.6737523011461493
baseline_only,2014,199,35,12.04410215840789,8.36760660101014,12.347463401929632,0.07454458913135258,0.9142857142857143,0.7227783483580335
baseline_only,2016,201,33,11.387863048556671,11.232540173626024,15.922516980028377,0.09129665896490403,0.8484848484848485,0.6842091858989248
baseline_only,2018,201,33,11.362977427176506,13.178805640427502,16.54879926752668,0.16316580923979268,0.7272727272727273,0.2820622614181931
baseline_only,2020,201,33,12.44618361684731,7.410935932058995,9.644514417700881,0.06828591955168763,0.8787878787878788,0.8144024521300836
baseline_only,2022,200,34,12.451850011269997,6.68024976565563,9.72014857327006,0.05393766876367541,0.9705882352941176,0.8489082727853561
baseline_only,2024,200,34,12.693554177104167,5.817867987402277,7.707972682539389,0.04837397222035403,0.9705882352941176,0.8691418573821224
composite_environment_index,2012,202,32,11.073310800632711,10.187619360540069,13.317979857648547,0.10917818891146588,0.84375,0.6787765155733313
composite_environment_index,2014,199,35,11.33729476654585,8.092601807913695,11.801855612536302,0.06717383362695342,0.8857142857142857,0.7467367092215158
composite_environment_index,2016,201,33,10.409927868183813,11.992797013364697,16.61062371246905,0.10514525661000068,0.8181818181818182,0.656325007681096
composite_environment_index,2018,201,33,11.245208358016706,10.268651316376149,13.77254823385965,0.12762180793985714,0.8484848484848485,0.5027412767578727
composite_environment_index,2020,201,33,11.729153003986028,5.676845022831754,9.184636638981932,0.0627030501965298,0.9393939393939394,0.8316801018571958
composite_environment_index,2022,200,34,11.768055339304606,6.675842462573072,9.152060324871645,0.06342928060594391,0.8823529411764706,0.8660531121365477
composite_environment_index,2024,200,34,12.010534222035467,5.482147066272543,7.2209256456977595,0.062704642977761,0.8823529411764706,0.8851565675714075
generic_ballot,2012,202,32,10.862306611086707,10.984957705787924,13.903252756554295,0.1332515880042729,0.78125,0.6499231297842663
generic_ballot,2014,199,35,11.218732445609026,8.105914712057,11.874129473101673,0.06724880238614978,0.8857142857142857,0.7436252725735208
generic_ballot,2016,201,33,10.563252314243115,10.662565840440436,15.307980716468103,0.08303208672106904,0.8484848484848485,0.7081149413400518
generic_ballot,2018,201,33,11.184393633660932,9.754487001029473,13.321678493374968,0.12174946034571751,0.8484848484848485,0.5347657250364747
generic_ballot,2020,201,33,11.549681140895022,7.0440378716324545,10.465270260934586,0.07443742823641286,0.9090909090909091,0.7814693300177435
generic_ballot,2022,200,34,11.667712978637077,6.389540212989239,8.99259100100126,0.05846076226221784,0.8823529411764706,0.8706803375811303
generic_ballot,2024,200,34,11.886877162675768,5.073071150166347,7.209173986414353,0.05138337575605682,0.9411764705882353,0.8855300661377684
generic_ballot_plus_approval_net,2012,202,32,10.85150868562019,11.666974120425428,14.57147021841035,0.150693813616562,0.75,0.6154637140739945
generic_ballot_plus_approval_net,2014,199,35,11.24528668134343,8.12300087204939,11.883763821075052,0.06736545185479215,0.8857142857142857,0.7432090727353425
generic_ballot_plus_approval_net,2016,201,33,10.430279131822347,12.33636238921742,16.974155692461967,0.11128651478196845,0.8181818181818182,0.6411173904362213
generic_ballot_plus_approval_net,2018,201,33,11.210775022749546,9.811693830523662,13.384665128870404,0.12235427850581254,0.8484848484848485,0.5303559478154503
generic_ballot_plus_approval_net,2020,201,33,11.572675697257157,7.310767400544528,10.692645025432762,0.07671318668647663,0.9090909090909091,0.7718703157574877
generic_ballot_plus_approval_net,2022,200,34,11.694949537415196,6.422554431136452,9.008850455837006,0.05938570973585873,0.8823529411764706,0.8702122704532452
generic_ballot_plus_approval_net,2024,200,34,11.916835826165181,5.080509639804812,7.236809576103523,0.05089487849345921,0.9411764705882353,0.8846507677630611
generic_ballot_plus_approval_plus_fixed_midterm,2012,202,32,10.85150868562019,11.666974120425428,14.57147021841035,0.150693813616562,0.75,0.6154637140739945
generic_ballot_plus_approval_plus_fixed_midterm,2014,199,35,11.24528668134343,8.12300087204939,11.883763821075052,0.06736545185479215,0.8857142857142857,0.7432090727353425
generic_ballot_plus_approval_plus_fixed_midterm,2016,201,33,10.430279131822347,12.33636238921742,16.974155692461967,0.11128651478196845,0.8181818181818182,0.6411173904362213
generic_ballot_plus_approval_plus_fixed_midterm,2018,201,33,11.210775022749546,9.811693830523662,13.384665128870404,0.12235427850581254,0.8484848484848485,0.5303559478154503
generic_ballot_plus_approval_plus_fixed_midterm,2020,201,33,11.572675697257157,7.310767400544528,10.692645025432762,0.07671318668647663,0.9090909090909091,0.7718703157574877
generic_ballot_plus_approval_plus_fixed_midterm,2022,200,34,11.694949537415196,6.422554431136452,9.008850455837006,0.05938570973585873,0.8823529411764706,0.8702122704532452
generic_ballot_plus_approval_plus_fixed_midterm,2024,200,34,11.916835826165181,5.080509639804812,7.236809576103523,0.05089487849345921,0.9411764705882353,0.8846507677630611
generic_ballot_plus_estimated_midterm,2012,202,32,10.889702131547491,10.984957705787924,13.903252756554295,0.13318871324388257,0.78125,0.6499231297842663
generic_ballot_plus_estimated_midterm,2014,199,35,11.24746164103717,8.105914712057,11.874129473101673,0.06727751008623255,0.8857142857142857,0.7436252725735208
generic_ballot_plus_estimated_midterm,2016,201,33,10.59002866218057,10.662565840440434,15.307980716468103,0.08304257808557357,0.8484848484848485,0.7081149413400518
generic_ballot_plus_estimated_midterm,2018,201,33,11.212744486835248,9.754487001029473,13.32167849337497,0.12177672537833435,0.8484848484848485,0.5347657250364746
generic_ballot_plus_estimated_midterm,2020,201,33,11.578957946143559,7.0440378716324545,10.465270260934586,0.07447195941303879,0.9090909090909091,0.7814693300177435
generic_ballot_plus_estimated_midterm,2022,200,34,11.697439684086214,6.38954021298924,8.99259100100126,0.058498758391986615,0.8823529411764706,0.8706803375811303
generic_ballot_plus_estimated_midterm,2024,200,34,11.917162249116606,5.073071150166347,7.209173986414353,0.05144316462864708,0.9411764705882353,0.8855300661377684
generic_ballot_plus_fixed_midterm_1pt,2012,202,32,10.862306611086707,10.984957705787924,13.903252756554295,0.1332515880042729,0.78125,0.6499231297842663
generic_ballot_plus_fixed_midterm_1pt,2014,199,35,11.218732445609026,8.105914712057,11.874129473101673,0.06724880238614978,0.8857142857142857,0.7436252725735208
generic_ballot_plus_fixed_midterm_1pt,2016,201,33,10.563252314243115,10.662565840440436,15.307980716468103,0.08303208672106904,0.8484848484848485,0.7081149413400518
generic_ballot_plus_fixed_midterm_1pt,2018,201,33,11.184393633660932,9.754487001029473,13.321678493374968,0.12174946034571751,0.8484848484848485,0.5347657250364747
generic_ballot_plus_fixed_midterm_1pt,2020,201,33,11.549681140895022,7.0440378716324545,10.465270260934586,0.07443742823641286,0.9090909090909091,0.7814693300177435
generic_ballot_plus_fixed_midterm_1pt,2022,200,34,11.667712978637077,6.389540212989239,8.99259100100126,0.05846076226221784,0.8823529411764706,0.8706803375811303
generic_ballot_plus_fixed_midterm_1pt,2024,200,34,11.886877162675768,5.073071150166347,7.209173986414353,0.05138337575605682,0.9411764705882353,0.8855300661377684
