model_name,mae,rmse,brier,directional_accuracy,r_squared,mae_change_vs_baseline,mae_change_vs_generic,rmse_change_vs_baseline,rmse_change_vs_generic,brier_change_vs_baseline,brier_change_vs_generic,directional_accuracy_change_vs_baseline,directional_accuracy_change_vs_generic,r_squared_change_vs_baseline,r_squared_change_vs_generic,rank_mae,rank_rmse,rank_brier,rank_directional_accuracy,rank_r_squared,average_rank
generic_ballot,8.252865134131952,11.846710980034903,0.08361831528751663,0.8717948717948718,0.7667367965771321,-0.7201852859339599,0.0,-0.6949224591362473,0.0,-0.0033829306213347538,0.0,-0.008547008547008517,0.0,0.02816886292674914,0.0,2,1,1,2,1,1.4
generic_ballot_plus_fixed_midterm_1pt,8.252865134131952,11.846710980034903,0.08361831528751663,0.8717948717948718,0.7667367965771321,-0.7201852859339599,0.0,-0.6949224591362473,0.0,-0.0033829306213347538,0.0,-0.008547008547008517,0.0,0.02816886292674914,0.0,2,1,1,2,1,1.4
generic_ballot_plus_estimated_midterm,8.25286513413195,11.846710980034903,0.08363841339514173,0.8717948717948718,0.7667367965771321,-0.7201852859339617,-1.7763568394002505e-15,-0.6949224591362473,0.0,-0.0033628325137096543,2.009810762509945e-05,-0.008547008547008517,0.0,0.02816886292674914,0.0,1,1,3,2,1,1.6
composite_environment_index,8.310171826623542,11.932835335376188,0.08497373252387623,0.8717948717948718,0.7633328698906242,-0.66287859344237,0.05730669249158993,-0.6087981037949621,0.08612435534128515,-0.0020275133849751575,0.0013554172363595962,-0.008547008547008517,0.0,0.02476493624024123,-0.0034039266865079076,4,4,4,2,4,3.6
approval_and_disapproval_separate,8.319602832831585,12.01662178054037,0.0875673090779,0.8675213675213675,0.7599976836749436,-0.6534475872343268,0.06673769869963309,-0.5250116586307794,0.16991080050546792,0.000566063169048614,0.003948993790383368,-0.012820512820512775,-0.004273504273504258,0.0214297500245606,-0.006739112902188538,5,5,6,7,5,5.6
baseline_only,8.973050420065912,12.54163343917115,0.08700124590885139,0.8803418803418803,0.738567933650383,0.0,0.7201852859339599,0.0,0.6949224591362473,0.0,0.0033829306213347538,0.0,0.008547008547008517,0.0,-0.02816886292674914,9,9,5,1,9,6.6
approval_net_only,8.784001707295026,12.448515759949256,0.08969697116609673,0.8717948717948718,0.7424356235073122,-0.18904871277088553,0.5311365731630744,-0.09311767922189418,0.6018047799143531,0.002695725257245346,0.0060786558785801,-0.008547008547008517,0.0,0.0038676898569292018,-0.024301173069819937,8,8,7,2,8,6.6
generic_ballot_plus_approval_net,8.636297266054575,12.311883203787367,0.09047527431450864,0.8632478632478633,0.7480585509633908,-0.3367531540113369,0.38343213192262304,-0.2297502353837828,0.4651722237524645,0.003474028405657248,0.006856959026992002,-0.017094017094017033,-0.008547008547008517,0.00949061731300782,-0.018678245613741318,6,6,8,8,6,6.8
generic_ballot_plus_approval_plus_fixed_midterm,8.636297266054575,12.311883203787367,0.09047527431450864,0.8632478632478633,0.7480585509633908,-0.3367531540113369,0.38343213192262304,-0.2297502353837828,0.4651722237524645,0.003474028405657248,0.006856959026992002,-0.017094017094017033,-0.008547008547008517,0.00949061731300782,-0.018678245613741318,6,6,8,8,6,6.8
