held_out_cycle,train_cycles,train_observations,held_out_observations,selected_model_id,selected_generic_ballot_coefficient,runner_up_generic_ballot_coefficient,selected_train_mae,runner_up_train_mae,delta_train_mae,selected_train_rmse,selected_train_brier,selected_train_winner_accuracy,held_out_mae,held_out_rmse,held_out_brier,held_out_winner_accuracy,held_out_mean_error,held_out_absolute_mean_error
2012,"2014,2016,2018,2020,2022,2024",202,32,generic_only__gb_p0_90__approval_p0_00__midterm_p0_00,0.9,0.85,7.377727720800244,7.392631833142832,0.01490411234258815,11.063168150955542,0.06816444671709534,0.9108910891089109,10.233851287834128,13.348819455708954,0.11340720703764273,0.84375,-1.4201586774533534,1.4201586774533534
2014,"2012,2016,2018,2020,2022,2024",199,35,generic_only__gb_p0_90__approval_p0_00__midterm_p0_00,0.9,0.85,7.727349707684941,7.740468454886965,0.013118747202024217,11.333816811785292,0.07575483579076879,0.8994974874371859,8.001189970943946,11.787416259715778,0.0663724725627096,0.9142857142857143,1.438725249126256,1.438725249126256
2016,"2012,2014,2018,2020,2022,2024",201,33,generic_only__gb_p0_75__approval_p0_00__midterm_p0_00,0.75,0.7,7.310514763703454,7.341733669176089,0.031218905472635505,10.598451575776872,0.07145607987374841,0.9154228855721394,10.954632329283381,15.588052810091856,0.09131896590573627,0.8484848484848485,6.833650110851863,6.833650110851863
2018,"2012,2014,2016,2020,2022,2024",201,33,generic_only__gb_p0_55__approval_p0_00__midterm_p0_00,0.55,0.6,7.765503880779765,7.758192251809149,-0.007311628970616546,11.398690990409191,0.06846213048663567,0.9104477611940298,8.999153288394231,12.255594187408327,0.11283587342371673,0.8787878787878788,-6.413091864565283,6.413091864565283
2020,"2012,2014,2016,2018,2022,2024",201,33,generic_only__gb_p0_95__approval_p0_00__midterm_p0_00,0.95,1.0,8.054026270088924,8.03627680948391,-0.017749460605013923,11.673242715742086,0.07647566282377262,0.900497512437811,6.012284628496959,9.558531800814453,0.06219730205265935,0.9090909090909091,3.526015027825223,3.526015027825223
2022,"2012,2014,2016,2018,2020,2024",200,34,generic_only__gb_p0_85__approval_p0_00__midterm_p0_00,0.85,0.9,8.019324266481656,8.006871113015642,-0.012453153466013944,11.735445757169048,0.0788083744479124,0.895,6.379118182623912,9.26829840669613,0.047641483907725296,0.9411764705882353,2.165650964218604,2.165650964218604
2024,"2012,2014,2016,2018,2020,2022",200,34,generic_only__gb_p0_75__approval_p0_00__midterm_p0_00,0.75,0.7,8.216893235692476,8.244818235692476,0.027924999999999756,11.985235896285667,0.07992200871702057,0.895,5.515814330360306,7.410585279409549,0.04093518194437101,0.9705882352941176,2.7536098454510594,2.7536098454510594
